enc_file_size_bits,file,time_dec_ns,time_enc_ns,bpp,num_points
19040,T0-2550.ply,11105379,19620550,7.466666666666667,2550
85232,T1-13563.ply,10766283,11767651,6.284155422841554,13563
142384,T2-24081.ply,11226376,12381132,5.9127112661434325,24081
217640,T3-37614.ply,12160618,15045870,5.786143457223374,37614
278096,T4-48780.ply,12169294,15911824,5.7010250102501026,48780
327856,T5-58377.ply,11995860,17474855,5.616184456207068,58377
356792,T6-63867.ply,13570022,17019502,5.5864844129206,63867
369296,T7-67458.ply,15081807,18385193,5.474458181386937,67458
374808,T8-71085.ply,12728644,19176928,5.272673559822747,71085
390048,T9-75666.ply,13766099,19619378,5.15486480057093,75666
396832,T10-78525.ply,14482594,20787950,5.0535752944922,78525
412392,T11-85095.ply,14419545,21321912,4.846254186497444,85095
438728,T12-90561.ply,14411541,21978923,4.844557811861618,90561
454984,T13-96936.ply,15195210,23165038,4.693653544606751,96936
491768,T14-109467.ply,15595361,23927999,4.492385833173468,109467
520888,T15-120135.ply,15529748,24263458,4.335855495900446,120135
562568,T16-130767.ply,16618590,27561945,4.3020639763854795,130767
609000,T17-140880.ply,18525346,26913499,4.322827938671209,140880
659448,T18-152439.ply,17459467,33183909,4.325979572156731,152439
723560,T19-166962.ply,18111159,32270747,4.3336807177681145,166962
789136,T20-182937.ply,19852956,36013476,4.313703624745131,182937
832160,T21-193518.ply,20350389,36189787,4.300168459781519,193518
857760,T22-200538.ply,20260169,36536007,4.277294078927684,200538
872912,T23-204687.ply,21897762,36595177,4.264618661663906,204687
880688,T24-206772.ply,19969364,36133592,4.2592227187433505,206772
882816,T25-207267.ply,20438805,35975505,4.2593176916730595,207267
884392,T26-207702.ply,19465580,36934424,4.257984997737142,207702
890848,T27-209565.ply,20362802,36999486,4.250938849521628,209565
903728,T28-213033.ply,20213783,38856479,4.242197218271348,213033
921400,T29-217587.ply,21704088,38433846,4.234627987885306,217587
937032,T30-221697.ply,22170132,38363294,4.226633648628534,221697
946632,T31-224214.ply,21894134,39300261,4.222002194332201,224214
986264,T32-233019.ply,22091334,40276803,4.232547560499358,233019
1021856,T33-241311.ply,22174571,41560160,4.2346018208867395,241311
1057000,T34-249378.ply,21741488,42098810,4.238545501207003,249378
1092000,T35-256830.ply,21815266,42317240,4.251839738348324,256830
1123456,T36-263379.ply,22295297,43567235,4.265548885826129,263379
1151688,T37-269877.ply,23254285,43293531,4.267455174023722,269877
1175488,T38-274713.ply,24299997,44458486,4.278967504268091,274713
1193680,T39-279141.ply,23957004,45636345,4.276261817504415,279141
1210600,T40-283179.ply,24891015,46032018,4.275034518802594,283179
1233616,T41-287733.ply,23852047,47217471,4.287363632256294,287733
1261104,T42-293688.ply,25534763,47947399,4.294026313638963,293688
1313264,T43-304794.ply,26374598,49295308,4.308693740690433,304794
1366872,T44-317250.ply,26044679,51647260,4.308501182033097,317250
1409848,T45-327447.ply,25899357,50748974,4.305576169578588,327447
1426800,T46-338292.ply,27508475,53132836,4.217658117839027,338292
1480712,T47-354018.ply,29000443,54020541,4.182589585840268,354018
1548800,T48-369408.ply,28311431,57862937,4.192654192654192,369408
1602376,T49-383916.ply,30769902,59747372,4.173767178236906,383916
1654000,T50-395757.ply,29690768,60444710,4.17933226702244,395757
1680160,T51-403947.ply,31569973,64357860,4.159357539479189,403947
1699256,T52-408798.ply,30260727,64037057,4.156713095465242,408798
1708424,T53-411516.ply,30216413,62534510,4.151537242780353,411516
1727104,T54-416148.ply,31815202,63023145,4.150215788613666,416148
1766400,T55-426330.ply,31448975,63664008,4.143269298430793,426330
1802968,T56-436425.ply,31360670,66065162,4.131220713753795,436425
1837192,T57-445266.ply,33100433,66264766,4.1260549873558725,445266
1864576,T58-454752.ply,33225368,74359919,4.100204067271831,454752
1922536,T59-469017.ply,33821205,69298756,4.099075300042429,469017
1933984,T60-472242.ply,33342327,70333126,4.09532400760627,472242
1940368,T61-474066.ply,33180383,72360809,4.093033459476107,474066
1960032,T62-479985.ply,33875106,71382745,4.0835276102378195,479985
1951376,T63-489090.ply,33727169,72314533,3.9898096464863317,489090
1994744,T64-496179.ply,34255089,72123986,4.020210448245492,496179
2013776,T65-500874.ply,34359003,72407037,4.020524123831542,500874
2052472,T66-509850.ply,35829922,74263308,4.025638913405904,509850
2065744,T67-513981.ply,34501791,75117621,4.019105764609976,513981
2088008,T68-519507.ply,36114967,78086299,4.019210520743705,519507
2106928,T69-524013.ply,36617320,76504672,4.020755210271501,524013
2127608,T70-528450.ply,36814388,78405657,4.0261292459078435,528450
2152336,T71-534360.ply,37305270,77743014,4.027876338049255,534360
2175840,T72-540042.ply,36985720,80102009,4.029019965113824,540042
2196064,T73-545643.ply,36638249,81364637,4.02472679022731,545643
2213208,T74-550140.ply,37275785,80204401,4.022990511506162,550140
2231624,T75-555045.ply,36776498,81668887,4.020618148078084,555045
2247208,T76-559503.ply,37106256,82857026,4.016436015535216,559503
2264488,T77-563886.ply,37811539,81596352,4.015861362048358,563886
2282640,T78-568503.ply,37411539,81371219,4.015176700914507,568503
2302000,T79-573771.ply,37518951,86387879,4.012053589323964,573771
2323616,T80-579396.ply,37530772,83275521,4.010410841635082,579396
2364696,T81-589647.ply,37811900,83840832,4.010358740059731,589647
2403224,T82-599589.ply,39659185,85654423,4.008118894776255,599589
2438016,T83-607566.ply,43406092,89530783,4.012759107652502,607566
2475880,T84-617799.ply,42517636,90510461,4.007581753936151,617799
2532672,T85-631407.ply,41123662,93468008,4.011156037231136,631407
2585800,T86-645444.ply,42242310,91235772,4.006234468056098,645444
2644560,T87-658929.ply,43233458,96474367,4.013421779888273,658929
2685536,T88-669582.ply,43671620,94000026,4.010764924983049,669582
2713584,T89-678060.ply,43663896,96873726,4.001982125475622,678060
2747512,T90-686640.ply,44009113,95664257,4.00138646161016,686640
2770888,T91-693024.ply,44438689,97206450,3.9982569146234472,693024
2813624,T92-702906.ply,45757853,101316218,4.0028453306701035,702906
2887904,T93-720333.ply,45745861,100432040,4.009123558132142,720333
2948352,T94-734859.ply,49608556,103757958,4.012132939788449,734859
3002232,T95-749175.ply,47424419,106518375,4.007384122534789,749175
3020544,T96-754428.ply,48427240,106288013,4.003753837344319,754428
3026120,T97-756081.ply,48386864,105981658,4.002375406867783,756081
3031376,T98-757587.ply,47615408,105836316,4.001356939863013,757587
3041520,T99-760212.ply,47501574,105855452,4.000883963946899,760212
2972688,T100-769653.ply,48048519,106543883,3.862374342723279,769653
3000120,T101-776637.ply,51288156,108171867,3.8629630058830573,776637
3017480,T102-781332.ply,50268273,109131887,3.8619690477287505,781332
3004352,T103-785247.ply,50739096,110304707,3.825996151529391,785247
2985256,T104-789552.ply,51456592,123557995,3.780949196506373,789552
2997608,T105-794847.ply,52261662,115841472,3.771301898352765,794847
2931024,T106-798909.ply,50132939,115122894,3.6687833032297794,798909
2935336,T107-800172.ply,49315556,112448237,3.6683812980209254,800172
2943584,T108-802155.ply,50207369,113576163,3.6695950283922683,802155
2952568,T109-804510.ply,50379793,112268660,3.6700202607798538,804510
2971104,T110-809352.ply,50449072,113966896,3.670966402751831,809352
2997128,T111-816243.ply,50441969,114803545,3.6718575228210226,816243
2999560,T112-816939.ply,50078878,115083961,3.671706210622825,816939
3000488,T113-817311.ply,52401754,113845388,3.671170460204255,817311
2992728,T114-823959.ply,51382663,117555256,3.6321321813342653,823959
3013680,T115-829941.ply,51485947,115833788,3.6311978803312526,829941
3011536,T116-836160.ply,51678798,116686356,3.6016264829697664,836160
3032000,T117-841356.ply,52379764,115514238,3.6037063977674135,841356
3042824,T118-846534.ply,51751575,120269447,3.594449838990519,846534
3063952,T119-852081.ply,51561108,117037525,3.5958459348348337,852081
3086992,T120-858243.ply,52897474,117983690,3.596874078786544,858243
3123576,T121-867108.ply,52630182,119881629,3.6022917560442296,867108
3167176,T122-878829.ply,53428741,120104277,3.603859226311376,878829
3212504,T123-890541.ply,53797523,124648290,3.6073622663077836,890541
3249872,T124-899727.ply,53480959,125597229,3.612064548468591,899727
3296864,T125-911100.ply,54752053,123374280,3.618553396992646,911100
3324088,T126-918822.ply,57480831,132508402,3.6177714508359617,918822
3350504,T127-926376.ply,56132672,129686209,3.6167862725286493,926376
3374024,T128-933495.ply,55826378,132849101,3.6143996486322907,933495
3393512,T129-939330.ply,61662834,134470733,3.612694154344054,939330
3415056,T130-944607.ply,56856229,136141115,3.615319386792603,944607
3429760,T131-948705.ply,61447541,133018229,3.615201775051254,948705
3446432,T132-953214.ply,58353257,138753896,3.615591042515112,953214
3466248,T133-959028.ply,57819186,134791685,3.614334513695116,959028
3498736,T134-967848.ply,58182757,135766142,3.61496433324241,967848
3536928,T135-978174.ply,58473943,139393596,3.615847487256868,978174
3552376,T136-982014.ply,57424716,136639581,3.6174392625767045,982014
3577024,T137-988440.ply,58954625,145524535,3.6188579984622233,988440
3600704,T138-995679.ply,60582068,136009218,3.616330162632736,995679
3621472,T139-1001412.ply,59853300,140124547,3.6163656916433995,1001412
3634360,T140-1005978.ply,60406368,138717438,3.612762903363692,1005978
3654432,T141-1012098.ply,60421185,136900580,3.6107491567022167,1012098
3679680,T142-1019193.ply,60649854,143207640,3.610385864110134,1019193
3698080,T143-1026543.ply,61142198,142174151,3.6024599066965535,1026543
3716768,T144-1032018.ply,60402360,141476353,3.601456563742105,1032018
3732344,T145-1036593.ply,61032713,144539347,3.6005876944953323,1036593
3744264,T146-1040115.ply,61307208,147004871,3.5998557851776005,1040115
3758824,T147-1044570.ply,61341481,144036945,3.5984414639516737,1044570
3776368,T148-1049775.ply,62262740,144651668,3.597311804910576,1049775
3797776,T149-1055448.ply,62684521,144817970,3.5982596963564286,1055448
3820696,T150-1061754.ply,63407868,148400690,3.5984757297829817,1061754
3855176,T151-1071315.ply,62942064,148305842,3.598545712512193,1071315
3895456,T152-1082628.ply,65331004,152582583,3.598148209726702,1082628
3926800,T153-1093350.ply,63590540,153064246,3.5915306169113275,1093350
3953056,T154-1101384.ply,64711904,152568927,3.589171442476012,1101384
3971112,T155-1107093.ply,64601666,156741895,3.586972368175031,1107093
3989280,T156-1112832.ply,63752574,157141514,3.584799861973775,1112832
4009384,T157-1118841.ply,64992580,154995138,3.5835154414255466,1118841
4046248,T158-1129029.ply,64929471,156328730,3.583829999052283,1129029
4071776,T159-1137168.ply,66831910,156329651,3.5806283680159834,1137168
4098480,T160-1144509.ply,66610494,163445177,3.5809941206229046,1144509
4126840,T161-1152753.ply,65658258,163144162,3.579986345730612,1152753
4146960,T162-1158861.ply,67070988,159078657,3.5784792136416708,1158861
4174712,T163-1166568.ply,67074815,162889825,3.5786272210449797,1166568
4191568,T164-1171344.ply,67911805,163035418,3.5784261497903262,1171344
4206640,T165-1175730.ply,66336139,161300905,3.5778962857118555,1175730
4228448,T166-1181571.ply,70258407,160170956,3.57866603022586,1181571
4249472,T167-1187784.ply,70232217,162616143,3.5776471142901403,1187784
4273400,T168-1195149.ply,69702494,164733413,3.575621115024152,1195149
4302408,T169-1204401.ply,72763876,170294454,3.572238814149108,1204401
4326776,T170-1211295.ply,71047196,170185760,3.572024981528034,1211295
4343080,T171-1216374.ply,79874372,180878125,3.5705136742482164,1216374
4363000,T172-1222080.ply,72868883,171544097,3.5701427075150565,1222080
4393768,T173-1231044.ply,73035665,184952696,3.5691396895643046,1231044
4442336,T174-1244934.ply,73949108,176987967,3.56833052997187,1244934
4477136,T175-1254897.ply,74462642,186480672,3.5677318536899842,1254897
4498376,T176-1261704.ply,74172688,180331780,3.565318014367871,1261704
4456512,T177-1249776.ply,72901354,174402779,3.5658486000691325,1249776
4473544,T178-1256208.ply,73244137,174254781,3.5611491090647407,1256208
4492664,T179-1261797.ply,73620211,174499862,3.560528357572573,1261797
4502904,T180-1265592.ply,73633486,181847703,3.5579428441393435,1265592
4519488,T181-1270899.ply,74086005,176553443,3.5561346731722976,1270899
4528232,T182-1273821.ply,75675366,183914750,3.5548416928281132,1273821
4533648,T183-1275612.ply,76350512,185726818,3.5540963866755724,1275612
4552656,T184-1280682.ply,79076155,185512056,3.5548684216690796,1280682
4576064,T185-1286973.ply,77007465,188018316,3.555679878288045,1286973
4595072,T186-1292199.ply,74406096,183622131,3.556009561994708,1292199
4624360,T187-1299885.ply,76628915,184497953,3.5575147032237466,1299885
4640944,T188-1305225.ply,76258170,186910399,3.5556658813614512,1305225
4650352,T189-1308222.ply,76171608,183322579,3.554711662087933,1308222
4664776,T190-1312620.ply,78273520,180584172,3.5537901296643355,1312620
4685056,T191-1318851.ply,75398617,183119869,3.552377031218841,1318851
4707200,T192-1323738.ply,77100830,178453537,3.555990686978843,1323738
4726008,T193-1329471.ply,77392126,178460039,3.554803376681402,1329471
4745784,T194-1335522.ply,77744587,186397366,3.553504921671077,1335522
4772280,T195-1343466.ply,75743204,182996107,3.552214942544136,1343466
4856304,T196-1365642.ply,77803287,185670213,3.5560593479110922,1365642
4918616,T197-1382424.ply,78200733,192726006,3.5579648501472776,1382424
4949544,T198-1392855.ply,79667344,195782188,3.553524236191133,1392855
4982528,T199-1402758.ply,80734044,198337321,3.551951227510376,1402758
5020192,T200-1413519.ply,80529771,202321393,3.5515560809582327,1413519
5061184,T201-1425195.ply,80937766,202816331,3.551222113465175,1425195
5108120,T202-1439052.ply,81795225,205199071,3.549642403471174,1439052
5133960,T203-1447197.ply,81780447,208735083,3.5475197917076944,1447197
5177760,T204-1460361.ply,83338219,204635444,3.5455342891244013,1460361
5212384,T205-1471077.ply,83131330,206253088,3.543243487594463,1471077
5230576,T206-1476837.ply,85102598,216943027,3.5417422504988703,1476837
5255848,T207-1484307.ply,84329858,219315978,3.540944023035666,1484307
5304936,T208-1498395.ply,85724575,210509341,3.540412241097975,1498395
5333096,T209-1506834.ply,84829266,208570925,3.5392724082413856,1506834
5372280,T210-1517772.ply,84949190,216406491,3.539583020374602,1517772
5406384,T211-1527693.ply,85666536,214129770,3.5389204506402794,1527693
5436664,T212-1536948.ply,86803448,214939740,3.5373116071591233,1536948
5476416,T213-1550346.ply,86526138,222615566,3.5323830938384075,1550346
5530584,T214-1565562.ply,88273655,210089793,3.532650894694685,1565562
5560384,T215-1575432.ply,88638039,229018957,3.5294344662289454,1575432
5595264,T216-1585743.ply,90449577,220721995,3.5284809707499893,1585743
5577152,T217-1596336.ply,88739669,229581071,3.4937206202203046,1596336
5605352,T218-1604169.ply,88138382,225068798,3.494240320066028,1604169
5629928,T219-1612041.ply,89740156,225974998,3.492422339134054,1612041
5652528,T220-1618215.ply,90655342,228288447,3.4930636534700272,1618215
5674384,T221-1624875.ply,91012573,239440413,3.4921972459419957,1624875
5697600,T222-1630674.ply,91243997,233850459,3.4940153580666644,1630674
5702384,T223-1638876.ply,90775548,237217334,3.4794481095580143,1638876
5722496,T224-1646832.ply,90725134,234506810,3.4748511080668822,1646832
5719104,T225-1655745.ply,91986490,242725785,3.454097098285062,1655745
5765824,T226-1668279.ply,92603567,251280781,3.4561509196003786,1668279
5805136,T227-1678155.ply,92197384,247092145,3.459237078815723,1678155
5829864,T228-1684626.ply,92633223,241720169,3.4606280563163576,1684626
5848200,T229-1690575.ply,94657890,257157484,3.459296393238987,1690575
5888296,T230-1703394.ply,95197852,265677003,3.456802125638578,1703394
5929144,T231-1715166.ply,95213322,257696494,3.456892219178785,1715166
5958088,T232-1724808.ply,97700707,301851140,3.454348541982644,1724808
5985536,T233-1732812.ply,95575872,257926225,3.454232773087906,1732812
6034424,T234-1744479.ply,93692619,256020551,3.459155426921161,1744479
6087456,T235-1759239.ply,95348775,236836149,3.4602779952013343,1759239
6139968,T236-1773657.ply,96793055,264417350,3.461756134359687,1773657
6198864,T237-1788840.ply,98998180,271657459,3.4652981820621185,1788840
6237400,T238-1801098.ply,99586564,264889506,3.4631097252897955,1801098
6302336,T239-1816398.ply,103999090,299092366,3.4696889117913585,1816398
6306144,T240-1827090.ply,106249932,349803850,3.4514687289624484,1827090
6325968,T241-1833573.ply,103329936,284247043,3.450076980845595,1833573
6334056,T242-1836837.ply,103630559,310527955,3.44834952693135,1836837
6349024,T243-1842603.ply,101151429,277256601,3.445682005293598,1842603
6343728,T244-1856154.ply,101745934,285136581,3.4176733180544288,1856154
6401968,T245-1872897.ply,101466781,276757244,3.41821680530216,1872897
6451792,T246-1888218.ply,101866690,276930610,3.416868179415724,1888218
6490816,T247-1900464.ply,101280210,286214813,3.415384874430665,1900464
6522120,T248-1909560.ply,104397347,296229217,3.4155093319927103,1909560
6544008,T249-1917123.ply,108021405,293581660,3.413452344998208,1917123
6560464,T250-1923288.ply,102893727,332745596,3.4110668812991087,1923288
6577328,T251-1928544.ply,106556677,285127704,3.4105148754708217,1928544
6597872,T252-1932897.ply,109702097,357879507,3.4134627970347102,1932897
6616936,T253-1940001.ply,106799372,350635040,3.4107899944381472,1940001
6639912,T254-1948452.ply,106666213,298440954,3.4077883365871986,1948452
6659712,T255-1955508.ply,103932485,345336752,3.4056173638768032,1955508
6671640,T256-1959858.ply,104963620,297140365,3.404144585985311,1959858
6687064,T257-1964778.ply,109173024,340102845,3.4034705193156682,1964778
6698344,T258-1968468.ply,109246973,316758491,3.402820873897874,1968468
6701320,T259-1969380.ply,109570841,354102483,3.402756197381917,1969380
6702456,T260-1969797.ply,110527385,303672386,3.4026125534763225,1969797
