time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
1529491,5175,35968,6.950338164251208,5587774,T0-5175.ply
2014374,14730,95744,6.499932111337406,3352671,T1-14730.ply
4658970,29511,182952,6.199451052150046,8035159,T2-29511.ply
5635204,47790,287240,6.010462439840971,13751248,T3-47790.ply
6803288,61587,361200,5.864874080568951,15240675,T4-61587.ply
6557026,73932,416000,5.626792187415463,17740025,T5-73932.ply
6738920,82506,448336,5.433980558989649,15209900,T6-82506.ply
20537349,89670,481352,5.368038362886138,29547895,T7-89670.ply
28140112,93132,497280,5.339518103337199,59660302,T8-93132.ply
27481462,96567,500888,5.186947922168028,68418649,T9-96567.ply
17643079,98448,509184,5.1721111652852265,35997848,T10-98448.ply
29752237,104037,535728,5.149398771590876,75087018,T11-104037.ply
33335371,115539,584592,5.059694129255057,80706268,T12-115539.ply
22866029,125196,621920,4.9675708489089105,83624867,T13-125196.ply
35235680,132207,652168,4.932930934065518,89076390,T14-132207.ply
19711721,137286,659608,4.804626837405125,90441342,T15-137286.ply
40331932,147120,681296,4.630886351277868,92253697,T16-147120.ply
41622319,157638,731056,4.637562009160228,94515900,T17-157638.ply
42793738,164571,761608,4.6278384405514945,112392351,T18-164571.ply
39819149,168726,779080,4.617427071109373,117093620,T19-168726.ply
27687586,174573,808040,4.628665372079302,107770890,T20-174573.ply
48590024,183324,831392,4.535096332176911,125738407,T21-183324.ply
51300465,195216,866776,4.440086878124744,141474721,T22-195216.ply
54104363,208257,921504,4.42484046154511,151721915,T23-208257.ply
49341227,225081,1005312,4.466445412984659,119748661,T24-225081.ply
52281390,237870,1062256,4.465699751965359,125000182,T25-237870.ply
59156660,247605,1104640,4.4612992467841925,160123716,T26-247605.ply
62939106,255867,1140984,4.459285488163773,185586054,T27-255867.ply
60392214,262026,1166952,4.4535733095189025,157521080,T28-262026.ply
62514784,265305,1180120,4.448163434537608,169471065,T29-265305.ply
44532864,271791,1203904,4.429521212990864,89201996,T30-271791.ply
53704474,285642,1266688,4.434529936073827,118912958,T31-285642.ply
62214443,295611,1308952,4.427954304812744,151457856,T32-295611.ply
62210421,301077,1330520,4.419201732447181,147590731,T33-301077.ply
63220124,304557,1344280,4.413886398933533,152360240,T34-304557.ply
13737127,307242,1354848,4.409709610014255,154879021,T35-307242.ply
25659600,314568,1348192,4.285852343531446,143608472,T36-314568.ply
74065276,320382,1375136,4.292176214643769,168735757,T37-320382.ply
13835273,327219,1407864,4.3025129958834905,148647440,T38-327219.ply
46818824,332808,1438352,4.321867262806182,55801285,T39-332808.ply
61122509,338754,1464800,4.324081782060138,148172478,T40-338754.ply
45221673,343662,1486280,4.324830793046656,85369862,T41-343662.ply
23383792,349719,1514752,4.331340304644586,96006482,T42-349719.ply
15285963,360297,1561040,4.332647787797289,55953947,T43-360297.ply
24139245,375027,1622872,4.327347097675634,50185479,T44-375027.ply
39018626,389937,1686888,4.3260526700467,53502009,T45-389937.ply
66916428,402414,1740480,4.32509803336862,101564144,T46-402414.ply
74853365,415908,1802440,4.333746886330631,161729733,T47-415908.ply
17364611,426903,1834400,4.29699486768657,135107029,T48-426903.ply
88386816,441654,1892048,4.284005126184751,171730799,T49-441654.ply
29668848,453591,1908168,4.206803045033962,244040777,T50-453591.ply
86584825,462555,1944496,4.203815762449871,152358849,T51-462555.ply
87650689,469242,1969336,4.196845124690459,168344642,T52-469242.ply
19591849,474075,1986344,4.189936191530876,144567406,T53-474075.ply
19732001,480234,2011072,4.187691833564471,59567058,T54-480234.ply
51558955,486012,2035304,4.187764911154457,60672249,T55-486012.ply
19974785,492003,2058600,4.184120828531533,164721198,T56-492003.ply
21898177,494814,2070904,4.185217071465237,245897261,T57-494814.ply
52152309,500433,2094896,4.186166779568893,61769606,T58-500433.ply
20574784,510372,2119872,4.153582093061532,152826131,T59-510372.ply
39765448,522372,2169632,4.153423230954186,186717983,T60-522372.ply
104131957,534957,2222856,4.155204997784868,257900785,T61-534957.ply
21977790,544488,2255048,4.141593570473546,212947448,T62-544488.ply
79975026,551583,2285656,4.143811538789267,285718120,T63-551583.ply
77390195,562743,2245072,3.989515640354478,172935614,T64-562743.ply
111775697,569049,2271560,3.9918530741640876,203789795,T65-569049.ply
67247089,578049,2311632,3.999024304167986,123044122,T66-578049.ply
90815901,590469,2364688,4.004762316057236,101307394,T67-590469.ply
98167452,602631,2408032,3.995864799520768,231693158,T68-602631.ply
103529741,620337,2478440,3.9953122254516495,169277672,T69-620337.ply
25846019,637986,2550984,3.9984952647863747,197190029,T70-637986.ply
90396252,656172,2618160,3.9900513889650884,80415802,T71-656172.ply
42698266,669798,2678216,3.998542844260508,190399804,T72-669798.ply
27464739,678960,2710960,3.9928125368210203,139542061,T73-678960.ply
