file,bpp,enc_file_size_bits,time_dec_ns,num_points,time_enc_ns
T0-108.ply,32.148148148148145,3472,3203166,108,2268848
T1-330.ply,14.206060606060609,4688,6778865,330,5379192
T2-663.ply,11.028657616892913,7312,6827248,663,7456942
T3-6474.ply,6.921223354958295,44808,8584859,6474,12372344
T4-14646.ply,5.857162365150894,85784,10131603,14646,16662570
T5-22557.ply,5.656425943166202,127592,8134493,22557,18369865
T6-29352.ply,5.527664213682202,162248,13638874,29352,21413007
T7-36276.ply,5.466534347778145,198304,16810782,36276,30824666
T8-43107.ply,5.427053610782472,233944,14913780,43107,34270632
T9-49209.ply,5.402751529191814,265864,18059099,49209,37664225
T10-56673.ply,5.366929578458878,304160,19846912,56673,44710409
T11-61752.ply,5.346288379323747,330144,21182778,61752,48466022
T12-65622.ply,5.336381091707049,350184,21323350,65622,49686760
T13-68307.ply,5.308387134554292,362600,22578692,68307,51889720
T14-70731.ply,5.241605519503471,370744,14680936,70731,49314719
T15-72540.ply,5.268155500413565,382152,7623865,72540,28641063
T16-73674.ply,5.260471808236284,387560,4563457,73674,12610991
T17-76368.ply,5.051854179761157,385800,24796645,76368,45683494
T18-81102.ply,5.046484673620872,409280,25469772,81102,59365499
T19-84468.ply,5.070701330681442,428312,25048638,84468,61169963
T20-90489.ply,5.068991811159368,458688,27164394,90489,66859249
T21-93429.ply,5.061041004399063,472848,29145005,93429,67156257
T22-100032.ply,4.659069097888676,466056,29516653,100032,72594641
T23-107892.ply,4.621955288621956,498672,30659415,107892,77078886
T24-114063.ply,4.529987813752049,516704,30543516,114063,81003781
T25-119310.ply,4.474059173581426,533800,34268332,119310,83295603
T26-124314.ply,4.320993612947857,537160,33687772,124314,89169360
T27-130161.ply,4.338626777606195,564720,35698244,130161,93462285
T28-135693.ply,4.345574200585144,589664,38234862,135693,97135761
T29-140832.ply,4.352192683481027,612928,37970078,140832,93429911
T30-142128.ply,4.353259034110098,618720,31513039,142128,101047983
T31-144435.ply,4.355841728112992,629136,20650651,144435,97891943
T32-150201.ply,4.352620821432613,653768,40012944,150201,100494622
T33-151785.ply,4.349046348453404,660120,41310307,151785,106005589
T34-152709.ply,4.362493369742452,666192,30870978,152709,110713177
T35-158031.ply,4.315406470882295,681968,44636004,158031,117024317
T36-165531.ply,4.18585038452012,692888,36452284,165531,81675491
T37-173520.ply,4.188888888888889,726856,45775500,173520,115953562
T38-180618.ply,4.172341627080358,753600,47258077,180618,120139309
T39-189489.ply,4.148589100158849,786112,17860905,189489,115043750
T40-195714.ply,4.124058575267993,807136,35577934,195714,74171727
T41-200697.ply,3.9910910476987698,801000,50779932,200697,132919008
T42-207423.ply,3.995391060779181,828736,20605236,207423,130458932
T43-214968.ply,4.001042015555804,860096,25182952,214968,148745119
T44-221172.ply,3.991138118749209,882728,48892441,221172,71269553
T45-227667.ply,3.984240140204773,907080,54910314,227667,145579831
T46-235125.ply,3.9188346624136097,921416,53528956,235125,138202195
T47-239826.ply,3.91023492031723,937776,60009149,239826,171901700
T48-244365.ply,3.9001329977697297,953056,23367170,244365,137006715
T49-248994.ply,3.882695968577556,966768,36925098,248994,61677189
T50-256269.ply,3.75393044027955,962016,60707387,256269,164512630
T51-262260.ply,3.7524593914436055,984120,11509880,262260,93739961
T52-269907.ply,3.752522165042033,1012832,11886200,269907,59716186
T53-277722.ply,3.7438589668805498,1039752,16033288,277722,78604476
T54-285372.ply,3.696928920847175,1055000,36352853,285372,50358844
T55-291888.ply,3.6840706024228473,1075336,72426825,291888,198898910
T56-300390.ply,3.6980192416525184,1110848,39689500,300390,147250378
T57-309435.ply,3.613838124323364,1118248,60988745,309435,165496091
T58-317910.ply,3.5879588562800797,1140648,52087316,317910,76721646
T59-326688.ply,3.608923498873543,1178992,62187945,326688,172457511
T60-334227.ply,3.5288830645040647,1179448,63138026,334227,140557542
T61-341304.ply,3.500410191500832,1194704,15972540,341304,164788094
T62-349215.ply,3.452268659708203,1205584,31086319,349215,46876530
T63-356997.ply,3.4329476158062957,1225552,85705689,356997,251376014
T64-364242.ply,3.4325970096803773,1250296,88432695,364242,254639099
T65-371031.ply,3.4106476278262465,1265456,87353398,371031,242001455
T66-373494.ply,3.410368038040772,1273752,67347016,373494,212279817
T67-377376.ply,3.4074238955312475,1285880,47992538,377376,170845673
T68-382914.ply,3.4035840946008764,1303280,23414835,382914,235122253
T69-388176.ply,3.3982935575615185,1319136,43335891,388176,80061932
T70-389574.ply,3.396243075769944,1323088,16572206,389574,132888523
T71-394002.ply,3.394723884650332,1337528,18526333,394002,51097087
T72-401310.ply,3.354214946051681,1346080,16563847,401310,52644215
T73-410136.ply,3.3454073770651687,1372072,17188675,410136,85917867
T74-416496.ply,3.2655487687756906,1360088,81967768,416496,183791541
T75-422571.ply,3.2629782924053,1378840,85733524,422571,219343180
T76-432636.ply,3.256261614844812,1408776,17898787,432636,187916196
T77-441459.ply,3.260769403274143,1439496,20080002,441459,54209099
T78-448737.ply,3.258211379939697,1462080,57464797,448737,72911154
T79-453990.ply,3.254785347694883,1477640,46071250,453990,123197531
T80-459315.ply,3.248559267605021,1492112,85557482,459315,187990025
T81-466560.ply,3.1530178326474623,1471072,22981696,466560,185997112
T82-474423.ply,3.155378217329261,1496984,19399158,474423,75845709
T83-479997.ply,3.141052964914364,1507696,32078894,479997,184073425
T84-485592.ply,3.1390632465114745,1524304,69311313,485592,68291524
T85-490554.ply,3.137399756194017,1539064,107866107,490554,306637180
T86-495705.ply,3.1460808343672144,1559528,80091802,495705,143951160
T87-503469.ply,3.14567927717496,1583752,90702586,503469,202732948
T88-509583.ply,3.140371637201398,1600280,20412172,509583,167914098
T89-514563.ply,3.109885475636608,1600232,21194094,514563,78154049
T90-518091.ply,3.094745903711896,1603360,61231830,518091,70428410
T91-520899.ply,3.0869707947222014,1608000,76582615,520899,177023736
T92-526020.ply,3.087365499410669,1624016,84249588,526020,152185663
T93-532395.ply,3.084942570835564,1642408,30070309,532395,175862162
T94-536121.ply,3.081185030991138,1651888,74303816,536121,75193494
T95-537705.ply,3.07896709162087,1655576,21653673,537705,194862690
T96-539520.ply,3.0766162514827995,1659896,22051078,539520,66079488
T97-543321.ply,3.074749549529652,1670576,108952144,543321,168550159
T98-548904.ply,3.07941643711833,1690304,97319753,548904,230330248
T99-553926.ply,3.0815668518899635,1706960,49387087,553926,207024654
T100-559836.ply,3.076086568209261,1722104,22414718,559836,184933589
T101-566262.ply,3.0736726109115566,1740504,108227846,566262,244809801
T102-574992.ply,3.074352338815149,1767728,88612469,574992,138271459
T103-583065.ply,3.079135259362164,1795336,97463084,583065,202329414
T104-589404.ply,3.076504401055982,1813304,41183558,589404,190734404
T105-596406.ply,3.0686210400297784,1830144,87633496,596406,84165939
T106-601398.ply,3.063741482346133,1842528,101298592,601398,204332265
T107-608688.ply,3.0611939121520386,1863312,40037853,608688,199923059
T108-615276.ply,3.065798113367009,1886312,25303306,615276,86756914
T109-618990.ply,3.065057593822194,1897240,31001865,618990,75914256
T110-621498.ply,3.062754827851417,1903496,44832062,621498,215051302
T111-626598.ply,3.0627994344061102,1919144,108631472,626598,209029435
T112-631677.ply,3.0641609556782976,1935560,101983070,631677,151229239
T113-635799.ply,3.0572429336944538,1943792,109294361,635799,178012563
T114-639555.ply,3.0551242660912665,1953920,37923486,639555,149194968
T115-647610.ply,3.0608421735303657,1982232,106685774,647610,207327619
T116-653757.ply,3.0604765991033367,2000808,122996418,653757,289076735
T117-657351.ply,3.0604289032799827,2011776,27443538,657351,169110978
T118-664647.ply,3.0559379640621263,2031120,91431883,664647,82637998
T119-667470.ply,3.054351506434746,2038688,26830285,667470,188873858
T120-672087.ply,3.0537594091241163,2052392,26963773,672087,82924575
T121-680001.ply,3.0503602200585,2074248,80289271,680001,83733784
T122-682680.ply,3.0512919669537704,2083056,47518303,682680,207692853
T123-685710.ply,3.0465823744731737,2089072,120172042,685710,240910121
T124-693474.ply,3.041602136489616,2109272,115600550,693474,221549044
T125-699822.ply,3.036360674571534,2124912,40003720,699822,154012235
T126-704835.ply,3.040007945121908,2142704,69009117,704835,97093537
T127-708726.ply,3.040193248166428,2154664,110670443,708726,99125475
T128-712161.ply,3.040042911644979,2165000,52547841,712161,245856282
T129-717447.ply,3.035820067545059,2178040,116430233,717447,165464670
T130-724965.ply,3.035666549419627,2200752,114912556,724965,227045350
T131-732873.ply,3.035843863807236,2224888,119289596,732873,223060117
T132-738207.ply,3.035007795916321,2240464,29463845,738207,198007276
T133-741657.ply,3.028159917589937,2245856,29384032,741657,91766898
T134-749604.ply,3.0298024023351,2271152,116444684,749604,100858621
T135-757833.ply,3.035718951272906,2300568,125246104,757833,192964619
T136-762492.ply,3.035856113900212,2314816,29509658,762492,156247864
T137-767739.ply,3.0345208462771853,2329720,128255540,767739,222111780
T138-773601.ply,3.030771676872186,2344608,30947960,773601,269136588
T139-779703.ply,3.032621395582677,2364544,102457305,779703,95084383
T140-785886.ply,3.0324703582962416,2383176,30802432,785886,194292096
T141-789534.ply,3.033090405226374,2394728,133473567,789534,220854748
T142-795027.ply,3.0337284142551133,2411896,31851877,795027,168328526
T143-798534.ply,3.0322065184450504,2421320,31409382,798534,96546507
T144-805695.ply,3.034607388652033,2444968,142808580,805695,230210875
T145-813138.ply,3.035607732020887,2468368,129120600,813138,174129235
T146-815556.ply,3.0343569295057606,2474688,31913569,815556,214962853
T147-821283.ply,3.0345496010510384,2492224,32049209,821283,100633888
T148-824988.ply,3.0548711011554106,2520232,32446029,824988,290993017
T149-830592.ply,3.053754430574819,2536424,32374123,830592,116885686
T150-837690.ply,3.05701631868591,2560832,136889248,837690,246225716
T151-841986.ply,3.060953507540505,2577280,48776143,841986,246131844
T152-847089.ply,3.0661996555261606,2597344,132548084,847089,184877532
T153-852129.ply,3.0601188317731234,2607616,33339373,852129,237034118
T154-858699.ply,3.0597077672152877,2627368,38017957,858699,230766039
T155-865581.ply,3.055159482474777,2644488,53255225,865581,195325976
T156-875055.ply,3.054272017187491,2672656,142717421,875055,202248371
T157-883110.ply,3.0284517217560665,2674456,141148230,883110,241557904
T158-890790.ply,3.046482335904085,2713776,135357026,890790,174041277
T159-894879.ply,3.0569674782847738,2735616,168696452,894879,381764104
T160-888336.ply,3.0521334269915887,2711320,73843348,888336,246328445
T161-889185.ply,3.06719524058548,2727304,134387024,889185,199186036
T162-890604.ply,3.041387642543712,2708672,147577904,890604,257127811
T163-892380.ply,3.053560142540173,2724936,97780339,892380,240798923
T164-892788.ply,3.0534460588627983,2726080,144703536,892788,247235653
T165-896679.ply,3.0431135333826265,2728696,129159396,896679,150960756
T166-904530.ply,3.045471128652449,2754720,36834492,904530,254789230
T167-908724.ply,3.0601150624392006,2780800,143336002,908724,111849892
T168-911340.ply,3.064094629885663,2792432,35387868,911340,233861906
