num_points,time_dec_ns,bpp,enc_file_size_bits,time_enc_ns,file
8328,8901695,6.870317002881844,57216,40885829,T0-8328.ply
23427,12714272,6.202416015708371,145304,21697246,T1-23427.ply
30933,10494114,6.0246338861410145,186360,23125746,T2-30933.ply
40257,16402150,5.544576098566709,223208,31968563,T3-40257.ply
47427,17748292,5.420035001159677,257056,37781276,T4-47427.ply
54780,19804360,5.365607886089814,293928,43447016,T5-54780.ply
59004,20672861,5.297674733916344,312584,48285337,T6-59004.ply
69972,22469788,5.040873492254044,352720,52959449,T7-69972.ply
84201,24751557,4.7578532321468865,400616,63549112,T8-84201.ply
99894,28829961,4.771137405649989,476608,73381630,T9-99894.ply
113967,32136595,4.745935226863916,540880,83789231,T10-113967.ply
131043,36626924,4.717962806101814,618256,93434734,T11-131043.ply
148431,39719234,4.7004736207396025,697696,101982692,T12-148431.ply
163482,42941684,4.702413721388288,768760,116172115,T13-163482.ply
179700,48531403,4.665108514190317,838320,130070055,T14-179700.ply
198267,51564441,4.62402719565031,916792,145640644,T15-198267.ply
216339,28609447,4.607805342541105,996848,91925020,T16-216339.ply
230022,62055081,4.590343532357775,1055880,133860213,T17-230022.ply
238572,49854077,4.573847727310833,1091192,141668126,T18-238572.ply
245931,58224105,4.564272092578813,1122496,157138969,T19-245931.ply
253812,29230887,4.558712748018218,1157056,89513685,T20-253812.ply
261024,58204833,4.54937477013608,1187496,157511982,T21-261024.ply
268314,24438666,4.546195874982297,1219808,117633820,T22-268314.ply
270435,67460008,4.546068371327676,1229416,200685751,T23-270435.ply
278226,68989330,4.482025403808414,1247016,201105342,T24-278226.ply
289233,74437783,4.483416484287754,1296752,212097168,T25-289233.ply
294417,74336172,4.46072067849343,1313312,220222900,T26-294417.ply
301719,74676925,4.455350839688585,1344264,221473159,T27-301719.ply
320094,25019664,4.4742107006066965,1432168,159309810,T28-320094.ply
336429,14769960,4.429558688460269,1490232,56669464,T29-336429.ply
350622,15058993,4.3956625653838035,1541216,62331738,T30-350622.ply
365175,31104085,4.340362839734374,1584992,46030405,T31-365175.ply
377412,90568616,4.294998569202887,1620984,265513691,T32-377412.ply
396552,81402936,4.298896487724183,1704736,289476328,T33-396552.ply
411756,47935869,4.29184274181797,1767192,70822020,T34-411756.ply
418098,72979916,4.287320197657008,1792520,138998270,T35-418098.ply
424671,82753604,4.2800002825716845,1817592,213072840,T36-424671.ply
429597,102757938,4.272953488967567,1835648,214510788,T37-429597.ply
434595,34511413,4.2668507460969405,1854352,197507714,T38-434595.ply
445407,54428563,4.2624027013495525,1898504,155019748,T39-445407.ply
457323,112342591,4.250632485136326,1943912,299766816,T40-457323.ply
468123,35320419,4.243448837164592,1986456,217489620,T41-468123.ply
475410,27320716,4.234374539870848,2013064,123341209,T42-475410.ply
483501,92764589,4.225678954128327,2043120,186024735,T43-483501.ply
493503,112695107,4.204424289214048,2074896,313314983,T44-493503.ply
503343,74600658,4.205768233590216,2116944,176709540,T45-503343.ply
511395,87024811,4.199149385504356,2147424,175559403,T46-511395.ply
522258,20799491,4.197297121346154,2192072,179633657,T47-522258.ply
531960,61234224,4.21439205955335,2241888,65262053,T48-531960.ply
535677,121554686,4.2117171355126315,2256120,346495597,T49-535677.ply
538530,31465208,4.2122815813418,2268440,166303259,T50-538530.ply
539571,115925310,4.2105302175246635,2271880,311544165,T51-539571.ply
542820,23655416,4.212519803986589,2286640,148598552,T52-542820.ply
547500,40078034,4.211872146118721,2306000,78343390,T53-547500.ply
551079,22240204,4.210343707526507,2320232,171649059,T54-551079.ply
557337,37023426,4.211211529110753,2347064,177448586,T55-557337.ply
562299,87255381,4.207398554861381,2365816,389320337,T56-562299.ply
571089,24427729,4.20492077417005,2401384,86688115,T57-571089.ply
583140,61828326,4.1899783928387695,2443344,117738049,T58-583140.ply
594009,24820482,4.190199138396893,2489016,287655221,T59-594009.ply
599424,24295696,4.188220691864189,2510520,73404977,T60-599424.ply
607023,112663358,4.189218530434596,2542952,185553913,T61-607023.ply
620898,25138356,4.197288443512461,2606088,192584552,T62-620898.ply
633828,89952320,4.1971512776336795,2660272,80063947,T63-633828.ply
640776,82965390,4.193902393348066,2687352,231905004,T64-640776.ply
644313,103001779,4.191714275515161,2700776,219982539,T65-644313.ply
652629,149873153,4.186562350125416,2732272,404212547,T66-652629.ply
660327,102577277,4.187743345342535,2765280,231406384,T67-660327.ply
673464,112243959,4.189218725871019,2821288,208532433,T68-673464.ply
691992,117363688,4.186406779269125,2896960,185357065,T69-691992.ply
714483,122944436,4.196421748313116,2998272,221689061,T70-714483.ply
735696,92753229,4.20102868576151,3090680,188977860,T71-735696.ply
757485,124542805,4.192304798114814,3175608,208461264,T72-757485.ply
770325,39491437,4.187344302729367,3225616,201638705,T73-770325.ply
777213,31051287,4.182493087480523,3250688,305945500,T74-777213.ply
785079,31069248,4.1786979399525395,3280608,132304050,T75-785079.ply
794289,31770370,4.173946762450443,3315320,108331595,T76-794289.ply
803238,31133110,4.168995988735593,3348696,120574012,T77-803238.ply
808878,31861143,4.1667494974520265,3370392,238367268,T78-808878.ply
818865,32514739,4.16769064497811,3412776,194112881,T79-818865.ply
829728,139832623,4.163629526784681,3454680,205663098,T80-829728.ply
839238,58159194,4.162309142341028,3493168,247252717,T81-839238.ply
847653,109946696,4.161986095725491,3527920,231521490,T82-847653.ply
851487,127142935,4.162609646418559,3544408,185221939,T83-851487.ply
858111,40391589,4.160235680465581,3569944,178046026,T84-858111.ply
864468,137421141,4.1600707024435835,3596248,228498287,T85-864468.ply
868341,107258074,4.1598312183807975,3612152,421119431,T86-868341.ply
876081,134932504,4.160829877602642,3645224,116465774,T87-876081.ply
892290,34500670,4.160817671384864,3712656,255211241,T88-892290.ply
903684,132622683,4.050610611673992,3660472,111426022,T89-903684.ply
910038,35360217,4.047312310035405,3683208,240907091,T90-910038.ply
914850,118500542,4.045681805760507,3701192,111911001,T91-914850.ply
921216,35978456,4.003152355147979,3687768,150664328,T92-921216.ply
928971,36228328,3.9997287321132737,3715632,177274355,T93-928971.ply
938901,129858702,4.000293960705123,3755880,116139058,T94-938901.ply
951735,37957357,3.9996259462980768,3806584,263708277,T95-951735.ply
964629,137598409,3.998486464744477,3857056,227887730,T96-964629.ply
973563,66489395,3.996059833826881,3890416,178548961,T97-973563.ply
981783,140036375,3.993118642306905,3920376,214698455,T98-981783.ply
986343,48130641,3.992169052753454,3937648,241767315,T99-986343.ply
990075,86493972,3.990687574173674,3951080,262534343,T100-990075.ply
996000,38757548,3.988979919678715,3973024,144502397,T101-996000.ply
1003683,40778589,3.986071299404294,4000752,241541857,T102-1003683.ply
