enc_file_size_bits,time_enc_ns,time_dec_ns,file,bpp,num_points
19040,5879082,1730537,T0-2550.ply,7.466666666666667,2550
85232,3544190,2361030,T1-13563.ply,6.284155422841554,13563
142384,6692483,4582577,T2-24081.ply,5.9127112661434325,24081
217640,17462556,12192037,T3-37614.ply,5.786143457223374,37614
278096,37526420,15830203,T4-48780.ply,5.7010250102501026,48780
327856,34072731,20825044,T5-58377.ply,5.616184456207068,58377
356792,49230531,19024850,T6-63867.ply,5.5864844129206,63867
369296,33272537,14543771,T7-67458.ply,5.474458181386937,67458
374808,23807433,8938473,T8-71085.ply,5.272673559822747,71085
390048,17188378,4521973,T9-75666.ply,5.15486480057093,75666
396832,13267736,6969919,T10-78525.ply,5.0535752944922,78525
412392,22557896,7786665,T11-85095.ply,4.846254186497444,85095
438728,15304062,4921485,T12-90561.ply,4.844557811861618,90561
454984,12932679,5192980,T13-96936.ply,4.693653544606751,96936
491768,15182200,5754058,T14-109467.ply,4.492385833173468,109467
520888,16580939,6242724,T15-120135.ply,4.335855495900446,120135
562568,17289754,6475441,T16-130767.ply,4.3020639763854795,130767
609000,30017992,11530653,T17-140880.ply,4.322827938671209,140880
659448,46644820,21436667,T18-152439.ply,4.325979572156731,152439
723560,53315188,10479625,T19-166962.ply,4.3336807177681145,166962
789136,24224904,8756772,T20-182937.ply,4.313703624745131,182937
832160,25680742,9305017,T21-193518.ply,4.300168459781519,193518
857760,26099167,9909935,T22-200538.ply,4.277294078927684,200538
872912,27469381,10814931,T23-204687.ply,4.264618661663906,204687
880688,27694993,9437621,T24-206772.ply,4.2592227187433505,206772
882816,27872940,9622231,T25-207267.ply,4.2593176916730595,207267
884392,27024476,9677707,T26-207702.ply,4.257984997737142,207702
890848,27866315,10010938,T27-209565.ply,4.250938849521628,209565
903728,27943045,9651368,T28-213033.ply,4.242197218271348,213033
921400,28354172,9972594,T29-217587.ply,4.234627987885306,217587
937032,30719610,11061527,T30-221697.ply,4.226633648628534,221697
946632,54265491,34454801,T31-224214.ply,4.222002194332201,224214
986264,128080637,15629566,T32-233019.ply,4.232547560499358,233019
1021856,109198275,13432559,T33-241311.ply,4.2346018208867395,241311
1057000,34169174,11345478,T34-249378.ply,4.238545501207003,249378
1092000,34733861,11570277,T35-256830.ply,4.251839738348324,256830
1123456,33653754,12119519,T36-263379.ply,4.265548885826129,263379
1151688,34851343,12093548,T37-269877.ply,4.267455174023722,269877
1175488,34320054,12357491,T38-274713.ply,4.278967504268091,274713
1193680,35578427,13375639,T39-279141.ply,4.276261817504415,279141
1210600,62675230,19330776,T40-283179.ply,4.275034518802594,283179
1233616,46093316,13123804,T41-287733.ply,4.287363632256294,287733
1261104,37821946,13786891,T42-293688.ply,4.294026313638963,293688
1313264,41185700,14348871,T43-304794.ply,4.308693740690433,304794
1366872,45496307,18525700,T44-317250.ply,4.308501182033097,317250
1409848,47721699,15953759,T45-327447.ply,4.305576169578588,327447
1426800,47694093,15035763,T46-338292.ply,4.217658117839027,338292
1480712,46925969,15351466,T47-354018.ply,4.182589585840268,354018
1548800,46445752,16924569,T48-369408.ply,4.192654192654192,369408
1602376,49536074,16944160,T49-383916.ply,4.173767178236906,383916
1654000,50029785,25716140,T50-395757.ply,4.17933226702244,395757
1680160,94530899,72651143,T51-403947.ply,4.159357539479189,403947
1699256,124523440,73888468,T52-408798.ply,4.156713095465242,408798
1708424,176099544,53338247,T53-411516.ply,4.151537242780353,411516
1727104,115085561,17089597,T54-416148.ply,4.150215788613666,416148
1766400,54474583,20400325,T55-426330.ply,4.143269298430793,426330
1802968,160834380,82953219,T56-436425.ply,4.131220713753795,436425
1837192,117775995,61016384,T57-445266.ply,4.1260549873558725,445266
1864576,166748821,18767172,T58-454752.ply,4.100204067271831,454752
1922536,60728601,18808480,T59-469017.ply,4.099075300042429,469017
1933984,162175017,29204811,T60-472242.ply,4.09532400760627,472242
1940368,155556587,22979597,T61-474066.ply,4.093033459476107,474066
1960032,178307944,78688120,T62-479985.ply,4.0835276102378195,479985
1951376,114258621,20416203,T63-489090.ply,3.9898096464863317,489090
1994744,65770332,20741246,T64-496179.ply,4.020210448245492,496179
2013776,62284596,22371683,T65-500874.ply,4.020524123831542,500874
2052472,95324670,21032376,T66-509850.ply,4.025638913405904,509850
2065744,170584405,21601513,T67-513981.ply,4.019105764609976,513981
2088008,110485729,84400528,T68-519507.ply,4.019210520743705,519507
2106928,127714575,27550221,T69-524013.ply,4.020755210271501,524013
2127608,79841285,21597843,T70-528450.ply,4.0261292459078435,528450
2152336,71153008,62111494,T71-534360.ply,4.027876338049255,534360
2175840,141926540,22052213,T72-540042.ply,4.029019965113824,540042
2196064,73954191,28537909,T73-545643.ply,4.02472679022731,545643
2213208,72221166,44153649,T74-550140.ply,4.022990511506162,550140
2231624,119770133,83644113,T75-555045.ply,4.020618148078084,555045
2247208,213640809,73951063,T76-559503.ply,4.016436015535216,559503
2264488,156421912,36045502,T77-563886.ply,4.015861362048358,563886
2282640,190619692,37873868,T78-568503.ply,4.015176700914507,568503
2302000,111953122,80544817,T79-573771.ply,4.012053589323964,573771
2323616,168195523,40744813,T80-579396.ply,4.010410841635082,579396
2364696,131167827,27780490,T81-589647.ply,4.010358740059731,589647
2403224,73931693,45420953,T82-599589.ply,4.008118894776255,599589
2438016,172877666,25871539,T83-607566.ply,4.012759107652502,607566
2475880,164273609,25466730,T84-617799.ply,4.007581753936151,617799
