time_enc_ns,bpp,file,time_dec_ns,num_points,enc_file_size_bits
9044012,32.148148148148145,T0-108.ply,10199041,108,3472
6961332,14.206060606060607,T1-330.ply,6977720,330,4688
6639833,11.028657616892911,T2-663.ply,7408451,663,7312
11574294,6.921223354958295,T3-6474.ply,8179748,6474,44808
17379657,5.857162365150894,T4-14646.ply,10182368,14646,85784
21019629,5.656425943166202,T5-22557.ply,10804614,22557,127592
24775511,5.527664213682202,T6-29352.ply,13381935,29352,162248
30758081,5.466534347778145,T7-36276.ply,15473318,36276,198304
37955852,5.427053610782472,T8-43107.ply,16241895,43107,233944
39772910,5.402751529191814,T9-49209.ply,18117445,49209,265864
44864232,5.366929578458878,T10-56673.ply,20140893,56673,304160
48417626,5.346288379323747,T11-61752.ply,21699736,61752,330144
50923005,5.336381091707049,T12-65622.ply,21311169,65622,350184
51118911,5.308387134554292,T13-68307.ply,22518836,68307,362600
54652240,5.241605519503471,T14-70731.ply,22127633,70731,370744
57441483,5.268155500413565,T15-72540.ply,24993879,72540,382152
56712092,5.260471808236284,T16-73674.ply,24712657,73674,387560
57170604,5.051854179761157,T17-76368.ply,24729460,76368,385800
57926836,5.046484673620872,T18-81102.ply,21237328,81102,409280
45377278,5.070701330681442,T19-84468.ply,25861303,84468,428312
64784728,5.068991811159368,T20-90489.ply,24250045,90489,458688
55870262,5.061041004399063,T21-93429.ply,19201203,93429,472848
71099382,4.6590690978886755,T22-100032.ply,30750069,100032,466056
75168675,4.6219552886219555,T23-107892.ply,31958322,107892,498672
82227978,4.529987813752049,T24-114063.ply,33188684,114063,516704
84853814,4.474059173581426,T25-119310.ply,33576445,119310,533800
91656126,4.320993612947857,T26-124314.ply,35479646,124314,537160
95098922,4.338626777606195,T27-130161.ply,36618500,130161,564720
97295737,4.345574200585144,T28-135693.ply,37159860,135693,589664
100641923,4.352192683481027,T29-140832.ply,38355829,140832,612928
99618685,4.353259034110098,T30-142128.ply,38680346,142128,618720
97959228,4.355841728112992,T31-144435.ply,41163227,144435,629136
111770765,4.352620821432613,T32-150201.ply,41867747,150201,653768
79706187,4.349046348453404,T33-151785.ply,35791918,151785,660120
90215426,4.3624933697424515,T34-152709.ply,40661105,152709,666192
91361534,4.315406470882295,T35-158031.ply,39858488,158031,681968
118339493,4.18585038452012,T36-165531.ply,44933375,165531,692888
122301489,4.188888888888889,T37-173520.ply,46599797,173520,726856
123135052,4.172341627080358,T38-180618.ply,28163738,180618,753600
97819227,4.148589100158849,T39-189489.ply,11614612,189489,786112
40733623,4.124058575267993,T40-195714.ply,21797846,195714,807136
143522641,3.9910910476987698,T41-200697.ply,52021411,200697,801000
135058336,3.9953910607791805,T42-207423.ply,33006075,207423,828736
139155219,4.001042015555804,T43-214968.ply,53772323,214968,860096
137448959,3.9911381187492085,T44-221172.ply,21695886,221172,882728
155127725,3.984240140204773,T45-227667.ply,57125653,227667,907080
112774132,3.9188346624136097,T46-235125.ply,49288776,235125,921416
167941679,3.91023492031723,T47-239826.ply,42857572,239826,937776
157082709,3.9001329977697297,T48-244365.ply,58080763,244365,953056
86423752,3.882695968577556,T49-248994.ply,32699955,248994,966768
85153729,3.75393044027955,T50-256269.ply,49190409,256269,962016
138058935,3.7524593914436055,T51-262260.ply,56522591,262260,984120
164620583,3.752522165042033,T52-269907.ply,62399428,269907,1012832
173403622,3.7438589668805498,T53-277722.ply,23308502,277722,1039752
136660089,3.6969289208471747,T54-285372.ply,68506933,285372,1055000
180443539,3.6840706024228473,T55-291888.ply,67768901,291888,1075336
174111142,3.6980192416525184,T56-300390.ply,20046971,300390,1110848
75937414,3.6138381243233635,T57-309435.ply,54868017,309435,1118248
136106717,3.5879588562800793,T58-317910.ply,14290533,317910,1140648
42347189,3.608923498873543,T59-326688.ply,32478105,326688,1178992
173864878,3.5288830645040647,T60-334227.ply,69186978,334227,1179448
180796141,3.500410191500832,T61-341304.ply,72060416,341304,1194704
161446242,3.452268659708203,T62-349215.ply,67248408,349215,1205584
147427801,3.4329476158062953,T63-356997.ply,69313904,356997,1225552
195583828,3.4325970096803773,T64-364242.ply,52191297,364242,1250296
171593631,3.4106476278262465,T65-371031.ply,76326802,371031,1265456
254036939,3.410368038040772,T66-373494.ply,92263121,373494,1273752
275701691,3.4074238955312475,T67-377376.ply,90862590,377376,1285880
148899393,3.4035840946008764,T68-382914.ply,70162610,382914,1303280
175114568,3.3982935575615185,T69-388176.ply,44340913,388176,1319136
144798522,3.3962430757699438,T70-389574.ply,16604796,389574,1323088
61984748,3.3947238846503316,T71-394002.ply,26197614,394002,1337528
61488937,3.354214946051681,T72-401310.ply,51791779,401310,1346080
158352245,3.3454073770651687,T73-410136.ply,73087121,410136,1372072
161461088,3.2655487687756906,T74-416496.ply,66647018,416496,1360088
141247264,3.2629782924053,T75-422571.ply,70630379,422571,1378840
136088903,3.256261614844812,T76-432636.ply,65397687,432636,1408776
185787332,3.260769403274143,T77-441459.ply,79406458,441459,1439496
106523003,3.2582113799396972,T78-448737.ply,24152646,448737,1462080
73251784,3.254785347694883,T79-453990.ply,18471775,453990,1477640
125340567,3.2485592676050206,T80-459315.ply,36314343,459315,1492112
170222494,3.1530178326474623,T81-466560.ply,75281549,466560,1471072
165815419,3.155378217329261,T82-474423.ply,69929250,474423,1496984
181182684,3.141052964914364,T83-479997.ply,74520993,479997,1507696
206844168,3.1390632465114745,T84-485592.ply,19838031,485592,1524304
179961382,3.1373997561940175,T85-490554.ply,20320599,490554,1539064
65425439,3.1460808343672144,T86-495705.ply,42199442,495705,1559528
194849649,3.14567927717496,T87-503469.ply,117271497,503469,1583752
177836622,3.140371637201398,T88-509583.ply,86764861,509583,1600280
164752474,3.109885475636608,T89-514563.ply,114928558,514563,1600232
153079722,3.094745903711896,T90-518091.ply,38481703,518091,1603360
173806000,3.0869707947222014,T91-520899.ply,20642360,520899,1608000
68717812,3.087365499410669,T92-526020.ply,54387596,526020,1624016
110044795,3.084942570835564,T93-532395.ply,83134574,532395,1642408
155502405,3.081185030991138,T94-536121.ply,21677544,536121,1651888
182671263,3.07896709162087,T95-537705.ply,101000052,537705,1655576
198290390,3.0766162514827995,T96-539520.ply,21996271,539520,1659896
66698637,3.0747495495296517,T97-543321.ply,68912596,543321,1670576
142221513,3.07941643711833,T98-548904.ply,22367116,548904,1690304
114999922,3.0815668518899635,T99-553926.ply,22531644,553926,1706960
68325694,3.076086568209261,T100-559836.ply,70446170,559836,1722104
181304275,3.0736726109115566,T101-566262.ply,81097804,566262,1740504
259938112,3.0743523388151486,T102-574992.ply,84519247,574992,1767728
194688928,3.0791352593621637,T103-583065.ply,23474195,583065,1795336
78673037,3.076504401055982,T104-589404.ply,70302593,589404,1813304
355582416,3.0686210400297784,T105-596406.ply,133735946,596406,1830144
229900153,3.0637414823461335,T106-601398.ply,24759560,601398,1842528
74544247,3.0611939121520386,T107-608688.ply,25079817,608688,1863312
196018703,3.065798113367009,T108-615276.ply,135554659,615276,1886312
204921468,3.065057593822194,T109-618990.ply,78308875,618990,1897240
197646029,3.062754827851417,T110-621498.ply,29569207,621498,1903496
192568348,3.0627994344061102,T111-626598.ply,110935910,626598,1919144
270234241,3.0641609556782976,T112-631677.ply,87630493,631677,1935560
207950979,3.0572429336944538,T113-635799.ply,32042990,635799,1943792
132852726,3.0551242660912665,T114-639555.ply,31278414,639555,1953920
185395697,3.0608421735303657,T115-647610.ply,104671063,647610,1982232
193110352,3.0604765991033367,T116-653757.ply,108923757,653757,2000808
168500054,3.0604289032799827,T117-657351.ply,26384747,657351,2011776
81420011,3.0559379640621263,T118-664647.ply,26716058,664647,2031120
81959563,3.054351506434746,T119-667470.ply,68353563,667470,2038688
147868583,3.0537594091241163,T120-672087.ply,83442397,672087,2052392
215247815,3.0503602200585,T121-680001.ply,108013528,680001,2074248
209024676,3.0512919669537704,T122-682680.ply,113119638,682680,2083056
198154780,3.0465823744731737,T123-685710.ply,34746217,685710,2089072
200147160,3.041602136489616,T124-693474.ply,27745686,693474,2109272
226099968,3.036360674571534,T125-699822.ply,45147056,699822,2124912
233976756,3.040007945121908,T126-704835.ply,57522428,704835,2142704
160692172,3.040193248166428,T127-708726.ply,40975243,708726,2154664
162145831,3.040042911644979,T128-712161.ply,28073564,712161,2165000
87402492,3.035820067545059,T129-717447.ply,33444202,717447,2178040
93763387,3.035666549419627,T130-724965.ply,29392117,724965,2200752
181467033,3.0358438638072354,T131-732873.ply,38813687,732873,2224888
225603383,3.0350077959163215,T132-738207.ply,29607596,738207,2240464
96324317,3.028159917589937,T133-741657.ply,68838541,741657,2245856
181184181,3.0298024023350996,T134-749604.ply,118759382,749604,2271152
232469431,3.035718951272906,T135-757833.ply,120731950,757833,2300568
207853176,3.0358561139002114,T136-762492.ply,121296321,762492,2314816
254166531,3.0345208462771853,T137-767739.ply,30997907,767739,2329720
99244813,3.030771676872186,T138-773601.ply,30894397,773601,2344608
94466496,3.032621395582677,T139-779703.ply,31527586,779703,2364544
95126712,3.0324703582962416,T140-785886.ply,95396480,785886,2383176
131694636,3.033090405226374,T141-789534.ply,109652462,789534,2394728
187695057,3.0337284142551133,T142-795027.ply,38556268,795027,2411896
114709034,3.0322065184450504,T143-798534.ply,32556721,798534,2421320
107091943,3.0346073886520335,T144-805695.ply,41835720,805695,2444968
275375935,3.035607732020887,T145-813138.ply,32693679,813138,2468368
178781836,3.0343569295057606,T146-815556.ply,70124587,815556,2474688
396392559,3.0345496010510384,T147-821283.ply,132549969,821283,2492224
261107606,3.0548711011554106,T148-824988.ply,135851469,824988,2520232
233647115,3.053754430574819,T149-830592.ply,44997024,830592,2536424
107713491,3.05701631868591,T150-837690.ply,121482994,837690,2560832
213606765,3.060953507540505,T151-841986.ply,138055616,841986,2577280
303656491,3.0661996555261606,T152-847089.ply,123185697,847089,2597344
226269953,3.0601188317731234,T153-852129.ply,34388977,852129,2607616
116704597,3.0597077672152873,T154-858699.ply,124602740,858699,2627368
214581744,3.055159482474777,T155-865581.ply,141368245,865581,2644488
195727438,3.054345155447372,T156-875055.ply,35175096,875055,2672720
266074728,3.0284517217560665,T157-883110.ply,144998031,883110,2674456
290963807,3.046482335904085,T158-890790.ply,36442639,890790,2713776
108774000,3.0569674782847738,T159-894879.ply,36069068,894879,2735616
107707959,3.0521334269915887,T160-888336.ply,39948934,888336,2711320
274814926,3.06719524058548,T161-889185.ply,35237078,889185,2727304
235872453,3.041387642543712,T162-890604.ply,34916773,890604,2708672
108563065,3.0535601425401735,T163-892380.ply,36107083,892380,2724936
218912295,3.0534460588627983,T164-892788.ply,34861057,892788,2726080
230600588,3.0431135333826265,T165-896679.ply,36674358,896679,2728696
337230202,3.045471128652449,T166-904530.ply,198569579,904530,2754720
203348017,3.0601150624392006,T167-908724.ply,79592994,908724,2780800
197544074,3.064094629885663,T168-911340.ply,42861397,911340,2792432
