enc_file_size_bits,time_enc_ns,file,time_dec_ns,bpp,num_points
57216,36488761,T0-8328.ply,8912904,6.870317002881844,8328
145304,19769938,T1-23427.ply,12304954,6.202416015708371,23427
186360,27845299,T2-30933.ply,14264469,6.0246338861410145,30933
223208,33289049,T3-40257.ply,16081436,5.544576098566709,40257
257056,38224454,T4-47427.ply,18787602,5.420035001159677,47427
293928,42000989,T5-54780.ply,19548540,5.365607886089814,54780
312584,45580188,T6-59004.ply,20642738,5.297674733916344,59004
352720,53086219,T7-69972.ply,23173174,5.040873492254044,69972
400616,61164435,T8-84201.ply,23266628,4.7578532321468865,84201
476608,74749685,T9-99894.ply,30121764,4.771137405649989,99894
540880,82467224,T10-113967.ply,28667788,4.745935226863916,113967
618256,63686910,T11-131043.ply,13692339,4.717962806101814,131043
697696,45351428,T12-148431.ply,9189043,4.7004736207396025,148431
768760,41942875,T13-163482.ply,11825355,4.702413721388288,163482
838320,39013251,T14-179700.ply,10159252,4.665108514190317,179700
916792,89652442,T15-198267.ply,37944052,4.62402719565031,198267
996848,82152707,T16-216339.ply,37550875,4.607805342541105,216339
1055880,120238697,T17-230022.ply,16056517,4.590343532357775,230022
1091192,38981472,T18-238572.ply,10842779,4.573847727310833,238572
1122496,142979058,T19-245931.ply,60027434,4.564272092578813,245931
1157056,152481428,T20-253812.ply,36052270,4.558712748018218,253812
1187496,140858996,T21-261024.ply,22211978,4.54937477013608,261024
1219808,167741007,T22-268314.ply,66104897,4.546195874982297,268314
1229416,196020751,T23-270435.ply,53830795,4.546068371327676,270435
1247016,159063397,T24-278226.ply,20075970,4.482025403808414,278226
1296752,59231277,T25-289233.ply,36898798,4.483416484287754,289233
1313312,101488932,T26-294417.ply,60680208,4.46072067849343,294417
1344264,136053933,T27-301719.ply,14411836,4.455350839688585,301719
1432168,53723146,T28-320094.ply,24386024,4.4742107006066965,320094
1490232,152057148,T29-336429.ply,68473216,4.429558688460269,336429
1541216,127557881,T30-350622.ply,42301396,4.3956625653838035,350622
1584992,131904822,T31-365175.ply,51973033,4.340362839734374,365175
1620984,138269434,T32-377412.ply,92993215,4.294998569202887,377412
1704736,162587844,T33-396552.ply,78787275,4.298896487724183,396552
1767192,158026778,T34-411756.ply,28502906,4.29184274181797,411756
1792520,117662122,T35-418098.ply,45127678,4.287320197657008,418098
1817592,177545494,T36-424671.ply,77600424,4.2800002825716845,424671
1835648,122002553,T37-429597.ply,29065257,4.272953488967567,429597
1854352,65724113,T38-434595.ply,22370137,4.2668507460969405,434595
1898504,140747090,T39-445407.ply,83277438,4.2624027013495525,445407
1943912,191597815,T40-457323.ply,57980633,4.250632485136326,457323
1986456,152307505,T41-468123.ply,76716994,4.243448837164592,468123
2013064,261303932,T42-475410.ply,85930793,4.234374539870848,475410
2043120,247921967,T43-483501.ply,52476018,4.225678954128327,483501
2074896,268069658,T44-493503.ply,89094538,4.204424289214048,493503
2116944,182802984,T45-503343.ply,76678189,4.205768233590216,503343
2147424,340108423,T46-511395.ply,56727908,4.199149385504356,511395
2192072,185993354,T47-522258.ply,20862433,4.197297121346154,522258
2241888,176809729,T48-531960.ply,21604652,4.21439205955335,531960
2256120,68092142,T49-535677.ply,21598418,4.2117171355126315,535677
2268440,96449980,T50-538530.ply,88674524,4.2122815813418,538530
2271880,203694866,T51-539571.ply,98842525,4.2105302175246635,539571
2286640,187721923,T52-542820.ply,52887105,4.212519803986589,542820
2306000,90865052,T53-547500.ply,82638183,4.211872146118721,547500
2320232,127898062,T54-551079.ply,85032741,4.210343707526507,551079
2347064,144219329,T55-557337.ply,21988024,4.211211529110753,557337
2365816,124852222,T56-562299.ply,81619986,4.207398554861381,562299
2401384,225277522,T57-571089.ply,54893521,4.20492077417005,571089
2443344,109133605,T58-583140.ply,92383767,4.1899783928387695,583140
