enc_file_size_bits,file,time_dec_ns,time_enc_ns,bpp,num_points
44800,T0-2550.ply,2397857,10949016,17.568627450980394,2550
214552,T1-13563.ply,3162953,3755785,15.818919118189191,13563
374520,T2-24081.ply,5642133,6609928,15.552510277812383,24081
580680,T3-37614.ply,9192541,11543260,15.437868878609029,37614
745880,T4-48780.ply,12181918,14275264,15.290692906929069,48780
887744,T5-58377.ply,14100597,16975278,15.207084982099115,58377
967904,T6-63867.ply,14954829,18198312,15.154993971847746,63867
1020192,T7-67458.ply,15627060,18881975,15.123365649737615,67458
1075616,T8-71085.ply,15604307,19596595,15.131406063163817,71085
1142728,T9-75666.ply,16768721,20742384,15.102265218195756,75666
1185048,T10-78525.ply,21106557,21682417,15.09134670487106,78525
1278896,T11-85095.ply,19298366,25640822,15.029038133850403,85095
1356592,T12-90561.ply,19815165,25469942,14.979869921931074,90561
1445840,T13-96936.ply,21102840,25911529,14.91540810431625,96936
1621912,T14-109467.ply,23199052,30912239,14.816446965752236,109467
1764080,T15-120135.ply,25941025,30989023,14.684147001290215,120135
1914464,T16-130767.ply,27323127,34464471,14.64026856928736,130767
2028144,T17-140880.ply,29267484,35355713,14.396252129471891,140880
2179792,T18-152439.ply,30417290,38363875,14.29943780791005,152439
2392760,T19-166962.ply,34064150,42846182,14.331165175309351,166962
2618056,T20-182937.ply,37598089,47329030,14.311243761513527,182937
2766928,T21-193518.ply,40759719,51659623,14.298039458861709,193518
2861184,T22-200538.ply,40484152,51612254,14.267540316548484,200538
2916096,T23-204687.ply,41136866,51898711,14.246610678743643,204687
2942880,T24-206772.ply,41841648,53225088,14.232487957750566,206772
2949416,T25-207267.ply,41700173,53570266,14.230031794738188,207267
2955384,T26-207702.ply,42736948,54123584,14.228962648409741,207702
2978376,T27-209565.ply,43293502,56206390,14.21218237778255,209565
3024208,T28-213033.ply,44991015,57428071,14.195960250289861,213033
3087656,T29-217587.ply,44193189,56791006,14.19044336288473,217587
3143304,T30-221697.ply,45567847,57749154,14.178378597815938,221697
3178480,T31-224214.ply,45481976,57410208,14.176099619113883,224214
3242024,T32-233019.ply,50183393,61259658,13.913131547212888,233019
3361168,T33-241311.ply,50368631,67706269,13.928780702081546,241311
3477656,T34-249378.ply,50857258,64612477,13.945319956050653,249378
3564656,T35-256830.ply,51549606,64974185,13.879437760386248,256830
3655704,T36-263379.ply,53792823,66402073,13.880013212898522,263379
3742504,T37-269877.ply,53766795,68714591,13.867443316770233,269877
3810424,T38-274713.ply,54634021,67081178,13.870563096759163,274713
3869504,T39-279141.ply,56740652,70418296,13.862184344112832,279141
3923952,T40-283179.ply,58560626,72327126,13.856790228088947,283179
3989840,T41-287733.ply,68197020,72439227,13.866466481077945,287733
4067176,T42-293688.ply,58192896,72386638,13.84862847647844,293688
4214784,T43-304794.ply,59767950,74573008,13.828303706765881,304794
4378064,T44-317250.ply,61987313,78125041,13.80004412923562,317250
4510344,T45-327447.ply,66680446,82066674,13.774271866897545,327447
4645368,T46-338292.ply,68395753,85867803,13.731829307225711,338292
4846848,T47-354018.ply,71458437,90340382,13.690964866193244,354018
5046128,T48-369408.ply,75228268,97129676,13.660039847539847,369408
5229504,T49-383916.ply,77139292,98642453,13.621479698684087,383916
5380888,T50-395757.ply,78191024,101475617,13.596444282729049,395757
5484240,T51-403947.ply,80136594,101332418,13.576632578036227,403947
5545048,T52-408798.ply,81463592,102987613,13.564273797817014,408798
5579152,T53-411516.ply,82322564,103563714,13.557557907833475,411516
5636360,T54-416148.ply,83817157,105662901,13.544123725213145,416148
5760784,T55-426330.ply,85354731,109970149,13.512499706799897,426330
5884704,T56-436425.ply,88313721,110175224,13.48388382883657,436425
5993440,T57-445266.ply,89750065,112487090,13.460358527262356,445266
6110560,T58-454752.ply,91769834,115610579,13.437126169868412,454752
6287520,T59-469017.ply,96299729,119634806,13.405740090444484,469017
6326240,T60-472242.ply,95575080,120142319,13.39618246576967,472242
6348344,T61-474066.ply,93798899,118840146,13.391266195002384,474066
6421128,T62-479985.ply,94481088,120894238,13.377768055251726,479985
6530616,T63-489090.ply,96418983,120638619,13.352585413727535,489090
6621664,T64-496179.ply,99223122,123783728,13.345312881036884,496179
6681056,T65-500874.ply,98375954,124227471,13.338795784967877,500874
6797184,T66-509850.ply,100522740,125682099,13.33173286260665,509850
6850352,T67-513981.ply,104879642,126008761,13.328025744142293,513981
6920832,T68-519507.ply,101615319,127844645,13.321922514999798,519507
6979208,T69-524013.ply,102381185,128995123,13.318768809170765,524013
7036760,T70-528450.ply,103142363,129505169,13.315848235405431,528450
7115096,T71-534360.ply,103480087,133044377,13.315173291414029,534360
7190512,T72-540042.ply,104473460,133064135,13.31472737305617,540042
7265144,T73-545643.ply,105675114,133710577,13.314830392765966,545643
7323528,T74-550140.ply,106959943,136060124,13.312116915694187,550140
7386728,T75-555045.ply,111253938,138497795,13.308340765163186,555045
7442416,T76-559503.ply,110333001,142439479,13.301833949058361,559503
7498576,T77-563886.ply,112592969,142463394,13.298035418506577,563886
7557448,T78-568503.ply,114992279,146130191,13.293593877253066,568503
7624688,T79-573771.ply,114429293,147757904,13.28873017283899,573771
7696184,T80-579396.ply,115293665,149881407,13.28311552030045,579396
7829104,T81-589647.ply,117562319,153644214,13.277611859298869,589647
7957840,T82-599589.ply,119076279,149539746,13.272158094961716,599589
8046952,T83-607566.ply,120046278,153761435,13.244572606103699,607566
8155144,T84-617799.ply,121885839,156691009,13.20031919766785,617799
8338912,T85-631407.ply,120941778,159833673,13.206872904481578,631407
8525464,T86-645444.ply,119230579,155179995,13.208681155917477,645444
8702144,T87-658929.ply,126381190,162573031,13.206497209866313,658929
8838400,T88-669582.ply,128994551,169822187,13.199876938149472,669582
8945848,T89-678060.ply,129530126,171317743,13.19329852815385,678060
9054272,T90-686640.ply,128747999,171057675,13.186345100780613,686640
9134824,T91-693024.ply,131963831,173506649,13.181107724984994,693024
9258536,T92-702906.ply,146216523,178046032,13.1717982205302,702906
9481312,T93-720333.ply,136941166,185563592,13.162401278297676,720333
9665984,T94-734859.ply,142348699,188788752,13.153521968159879,734859
9850080,T95-749175.ply,144513279,189875179,13.147902692962258,749175
9915944,T96-754428.ply,143089748,190161096,13.14365850684227,754428
9936016,T97-756081.ply,144154235,190828427,13.141470292204142,756081
9954752,T98-757587.ply,139988602,189704479,13.140077641247803,757587
9990696,T99-760212.ply,139109564,184195215,13.141986708970656,760212
10011096,T100-769653.ply,146680203,193489148,13.007285101207946,769653
10112288,T101-776637.ply,141663133,194691432,13.020610658518716,776637
10180920,T102-781332.ply,143505709,188511701,13.030209949163735,781332
10223680,T103-785247.ply,143606758,190178127,13.019699534031966,785247
10271136,T104-789552.ply,144396009,191257031,13.008815125539547,789552
10340128,T105-794847.ply,144723563,191437600,13.008953924465967,794847
10360768,T106-798909.ply,146726610,196604380,12.968645990970186,798909
10377968,T107-800172.ply,146184123,199499401,12.969671520623066,800172
10404520,T108-802155.ply,147604336,193422863,12.97071014953469,802155
10435520,T109-804510.ply,148224199,199510040,12.971274440342569,804510
10500960,T110-809352.ply,146690622,193927420,12.974527770364439,809352
10593176,T111-816243.ply,149667756,195110067,12.97796857063399,816243
10602472,T112-816939.ply,151599239,196101788,12.97829091278541,816939
10607096,T113-817311.ply,148896450,199642899,12.978041406514778,817311
10686008,T114-823959.ply,150410900,197549273,12.969101617920309,823959
10770456,T115-829941.ply,153151911,201377202,12.977375500186158,829941
10847248,T116-836160.ply,153239315,200019386,12.972694221201683,836160
10919512,T117-841356.ply,160317160,209936837,12.978468091984844,841356
10986944,T118-846534.ply,161371127,215598105,12.978739188266507,846534
11062776,T119-852081.ply,163597994,216974025,12.983244550694124,852081
11146072,T120-858243.ply,161406102,216190947,12.987081747244078,858243
11261952,T121-867108.ply,169809544,221615721,12.987946138197318,867108
11412152,T122-878829.ply,166923381,228824752,12.985634292905674,878829
11567264,T123-890541.ply,174153722,227375244,12.989030263626267,890541
11677760,T124-899727.ply,171798414,231761261,12.979225920751517,899727
11812952,T125-911100.ply,172076346,219994581,12.965593238941938,911100
11912208,T126-918822.ply,173815398,222964030,12.964652566002991,918822
12006960,T127-926376.ply,178841815,235437525,12.961216611829322,926376
12096464,T128-933495.ply,188301528,238077097,12.95825258839094,933495
