Filename,Symmetric Similarity,Cloud Size
auditorium-T0,0.997170610218596,2550
auditorium-T1,0.999011288972892,13563
auditorium-T2,0.999027581119104,24081
auditorium-T3,0.998993465805717,37614
auditorium-T4,0.998954504420383,48780
auditorium-T5,0.998911942180977,58377
auditorium-T6,0.998907910455044,63867
auditorium-T7,0.998859106021799,67458
auditorium-T8,0.998815914193557,71085
auditorium-T9,0.998780036553125,75666
auditorium-T10,0.998742357059798,78525
auditorium-T11,0.998628908200037,85095
auditorium-T12,0.998615735414276,90561
auditorium-T13,0.998527429304298,96936
auditorium-T14,0.998359186166167,109467
auditorium-T15,0.998204346588602,120135
auditorium-T16,0.998139681064068,130767
auditorium-T17,0.998053822636125,140880
auditorium-T18,0.99802308990059,152439
auditorium-T19,0.998053294519294,166962
auditorium-T20,0.998040778161876,182937
auditorium-T21,0.998009869640408,193518
auditorium-T22,0.997978461953522,200538
auditorium-T23,0.997964676376576,204687
auditorium-T24,0.997957834980926,206772
auditorium-T25,0.997955077005385,207267
auditorium-T26,0.997952970694964,207702
auditorium-T27,0.997935001367228,209565
auditorium-T28,0.997916329912925,213033
auditorium-T29,0.997905989794341,217587
auditorium-T30,0.997890881046496,221697
auditorium-T31,0.997882615708375,224214
auditorium-T32,0.997706910854622,233019
auditorium-T33,0.99772317255292,241311
auditorium-T34,0.997724220826927,249378
auditorium-T35,0.997658389696996,256830
auditorium-T36,0.997666667371115,263379
auditorium-T37,0.997678322673587,269877
auditorium-T38,0.997682292273191,274713
auditorium-T39,0.997685825061347,279141
auditorium-T40,0.997689375786734,283179
auditorium-T41,0.997573452177465,287733
auditorium-T42,0.997585005810235,293688
auditorium-T43,0.997614742738422,304794
auditorium-T44,0.997634190813905,317250
auditorium-T45,0.997635510096031,327447
auditorium-T46,0.997586042524777,338292
auditorium-T47,0.997557461407056,354018
auditorium-T48,0.997586306994072,369408
auditorium-T49,0.997537053728546,383916
auditorium-T50,0.997527943124207,395757
auditorium-T51,0.997516508230519,403947
auditorium-T52,0.997507551737986,408798
auditorium-T53,0.997499101855502,411516
auditorium-T54,0.997494630283174,416148
auditorium-T55,0.997497805114087,426330
auditorium-T56,0.997496512839782,436425
auditorium-T57,0.997497743777228,445266
auditorium-T58,0.997491811749777,454752
auditorium-T59,0.997486796716242,469017
auditorium-T60,0.99747864485443,472242
auditorium-T61,0.997474110239594,474066
auditorium-T62,0.997468743184797,479985
auditorium-T63,0.997387429864789,489090
auditorium-T64,0.997387099279384,496179
auditorium-T65,0.997385933896866,500874
auditorium-T66,0.997394030092652,509850
auditorium-T67,0.997391972356799,513981
auditorium-T68,0.9973930342777,519507
auditorium-T69,0.997397268137685,524013
auditorium-T70,0.99740128436503,528450
auditorium-T71,0.997403420376952,534360
auditorium-T72,0.997404595895742,540042
