time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
1446486,5175,84776,16.38183574879227,1732382,T0-5175.ply
3322975,14730,233392,15.844670739986423,3049415,T1-14730.ply
26074371,29511,458640,15.541323574260446,17429196,T2-29511.ply
24601982,47790,729808,15.271144590918603,50883214,T3-47790.ply
11034474,61587,931800,15.129816357348142,25353222,T4-61587.ply
10244659,73932,1112976,15.054049667261808,14318549,T5-73932.ply
11452581,82506,1236672,14.988873536470075,15966233,T6-82506.ply
12389229,89670,1338472,14.92664213226274,17082582,T7-89670.ply
12695698,93132,1387888,14.90237512348065,17786579,T8-93132.ply
13085510,96567,1436552,14.876220655089213,18067066,T9-96567.ply
13338849,98448,1464064,14.871444823663253,18462568,T10-98448.ply
14228596,104037,1540592,14.808116343224045,20050461,T11-104037.ply
15645534,115539,1702184,14.732549182527112,21520384,T12-115539.ply
16950167,125196,1838144,14.68213041950222,23704787,T13-125196.ply
17965174,132207,1936400,14.6467282367802,24897662,T14-132207.ply
18839471,137286,2002600,14.587066416094867,26096441,T15-137286.ply
20469809,147120,2091080,14.213431212615552,27619643,T16-147120.ply
20936817,157638,2235896,14.183737423717632,29486978,T17-157638.ply
22071611,164571,2338720,14.211009230058758,30711083,T18-164571.ply
22083293,168726,2399360,14.220452093927433,31567720,T19-168726.ply
23156183,174573,2472488,14.16306072531262,32181799,T20-174573.ply
24167798,183324,2577424,14.059392114507647,34030610,T21-183324.ply
25716820,195216,2740080,14.036144578313253,36167180,T22-195216.ply
27364265,208257,2924568,14.043071781500743,38375956,T23-208257.ply
28938959,225081,3167880,14.074399882708892,41632944,T24-225081.ply
30689091,237870,3346000,14.066506915542103,43373752,T25-237870.ply
32192647,247605,3477600,14.044950627006724,45578996,T26-247605.ply
33297195,255867,3588120,14.02337933379451,46875539,T27-255867.ply
33678870,262026,3669104,14.002824147222032,46909603,T28-262026.ply
33984902,265305,3711192,13.988398258608017,48617108,T29-265305.ply
35358887,271791,3797480,13.97205941329919,49632058,T30-271791.ply
36706984,285642,3988496,13.963268706982866,51827413,T31-285642.ply
37816673,295611,4121296,13.941619222559376,53925337,T32-295611.ply
38786439,301077,4193424,13.92807819926464,55194196,T33-301077.ply
39405489,304557,4238952,13.91841921216718,55463569,T34-304557.ply
39823759,307242,4271376,13.902318042455134,56447917,T35-307242.ply
40757953,314568,4353912,13.84092469672694,57514180,T36-314568.ply
41622676,320382,4433840,13.839229419880018,58348561,T37-320382.ply
41778393,327219,4528200,13.838438476983304,58878684,T38-327219.ply
42571223,332808,4604384,13.834955890483402,60616617,T39-332808.ply
43344670,338754,4684816,13.829551828170295,61636984,T40-338754.ply
44148069,343662,4750392,13.822860834191735,62982674,T41-343662.ply
44831006,349719,4832152,13.817241842736598,63506805,T42-349719.ply
45943027,360297,4972480,13.801058571123267,65634894,T43-360297.ply
48106729,375027,5165128,13.772683033488256,68139579,T44-375027.ply
50673412,389937,5348128,13.71536427679343,71386113,T45-389937.ply
52027337,402414,5509376,13.69081592588727,73017359,T46-402414.ply
53436059,415908,5684216,13.667003279571444,75548276,T47-415908.ply
54839967,426903,5816888,13.62578384316812,77600054,T48-426903.ply
56915717,441654,6017608,13.625163589597287,79163452,T49-441654.ply
57764782,453591,6155976,13.571644940045108,80987172,T50-453591.ply
58795318,462555,6275776,13.567631957280756,82746965,T51-462555.ply
60404474,469242,6362208,13.558479420000767,84249931,T52-469242.ply
61721304,474075,6425840,13.554479776406687,86774477,T53-474075.ply
61064587,480234,6504296,13.544013959861234,86141083,T54-480234.ply
62042399,486012,6577992,13.534628774598158,86620348,T55-486012.ply
64160543,492003,6652656,13.521576087950683,89346732,T56-492003.ply
64157631,494814,6688672,13.517548007938336,90827938,T57-494814.ply
64843030,500433,6763040,13.51437654990778,90755050,T58-500433.ply
65048004,510372,6894144,13.508076461874868,92893581,T59-510372.ply
67728871,522372,7060848,13.516896005145759,92629310,T60-522372.ply
67887504,534957,7231168,13.517288305415201,96413332,T61-534957.ply
68847756,544488,7357688,13.51303977314468,97514135,T62-544488.ply
68405633,551583,7450936,13.508277086132097,99631693,T63-551583.ply
69519510,562743,7541640,13.401570521534698,99283175,T64-562743.ply
70127173,569049,7622504,13.395162806717876,99881365,T65-569049.ply
74037250,578049,7734232,13.379889940126183,102681831,T66-578049.ply
73341344,590469,7895832,13.372136386499545,104543272,T67-590469.ply
79950071,602631,8040576,13.342453342094913,107913577,T68-602631.ply
77179442,620337,8255792,13.30855970222637,113443392,T69-620337.ply
78310366,637986,8481448,13.294097362638052,112416886,T70-637986.ply
82806717,656172,8713232,13.278884194997653,119724910,T71-656172.ply
84561011,669798,8881248,13.259591697795456,122409597,T72-669798.ply
84515775,678960,8996096,13.249817367738896,124075148,T73-678960.ply
85487984,686130,9084672,13.240452975383674,125292263,T74-686130.ply
86432589,691176,9147192,13.234244244591826,126220253,T75-691176.ply
86884116,695664,9203048,13.229156604337726,127119654,T76-695664.ply
87658585,701388,9273408,13.221509350031651,127871746,T77-701388.ply
88352048,706047,9332392,13.217805613507316,128830928,T78-706047.ply
89057671,710424,9385936,13.211738342173124,130476009,T79-710424.ply
