Filename,Symmetric Similarity,Cloud Size
conferenceRoom-T0,0.990265016367595,5175
conferenceRoom-T1,0.998945155822239,14730
conferenceRoom-T2,0.999125038879087,29511
conferenceRoom-T3,0.999138057647173,47790
conferenceRoom-T4,0.999089747817563,61587
conferenceRoom-T5,0.999047612431562,73932
conferenceRoom-T6,0.998997471434626,82506
conferenceRoom-T7,0.998942299866746,89670
conferenceRoom-T8,0.99892088505373,93132
conferenceRoom-T9,0.998859450796355,96567
conferenceRoom-T10,0.998861347657361,98448
conferenceRoom-T11,0.998846055891712,104037
conferenceRoom-T12,0.998787656357843,115539
conferenceRoom-T13,0.998782383545574,125196
conferenceRoom-T14,0.998732336098523,132207
conferenceRoom-T15,0.998646265402262,137286
conferenceRoom-T16,0.998346175472786,147120
conferenceRoom-T17,0.998309233288494,157638
conferenceRoom-T18,0.998314245303796,164571
conferenceRoom-T19,0.99831376399184,168726
conferenceRoom-T20,0.998250307159213,174573
conferenceRoom-T21,0.998139752374019,183324
conferenceRoom-T22,0.998044711407201,195216
conferenceRoom-T23,0.998059425677147,208257
conferenceRoom-T24,0.99810652429786,225081
conferenceRoom-T25,0.998111425766911,237870
conferenceRoom-T26,0.998098081299921,247605
conferenceRoom-T27,0.998081176981268,255867
conferenceRoom-T28,0.998070803418737,262026
conferenceRoom-T29,0.998063144765002,265305
conferenceRoom-T30,0.998045680179836,271791
conferenceRoom-T31,0.998048491445372,285642
conferenceRoom-T32,0.998026598303713,295611
conferenceRoom-T33,0.998015189408532,301077
conferenceRoom-T34,0.99800863494561,304557
conferenceRoom-T35,0.997957811170482,307242
conferenceRoom-T36,0.997885349459411,314568
conferenceRoom-T37,0.997857147492269,320382
conferenceRoom-T38,0.997870411062745,327219
conferenceRoom-T39,0.997880341452346,332808
conferenceRoom-T40,0.997893073573598,338754
conferenceRoom-T41,0.997895785610465,343662
conferenceRoom-T42,0.997900067693503,349719
conferenceRoom-T43,0.997909233521506,360297
conferenceRoom-T44,0.997911350698041,375027
conferenceRoom-T45,0.9978564705065,389937
conferenceRoom-T46,0.99785662289407,402414
conferenceRoom-T47,0.997795198739473,415908
conferenceRoom-T48,0.997734854925292,426903
conferenceRoom-T49,0.997748154260449,441654
conferenceRoom-T50,0.9976882587935,453591
conferenceRoom-T51,0.99767926548142,462555
conferenceRoom-T52,0.997669684093612,469242
conferenceRoom-T53,0.997663418965317,474075
conferenceRoom-T54,0.997662604782585,480234
conferenceRoom-T55,0.997658417317535,486012
conferenceRoom-T56,0.997651371985302,492003
conferenceRoom-T57,0.997648447934503,494814
conferenceRoom-T58,0.997644414310697,500433
conferenceRoom-T59,0.997630926328921,510372
conferenceRoom-T60,0.997636983305463,522372
conferenceRoom-T61,0.997641333583117,534957
conferenceRoom-T62,0.997636239723161,544488
conferenceRoom-T63,0.997634198956619,551583
conferenceRoom-T64,0.997479341194058,562743
conferenceRoom-T65,0.997485949442602,569049
conferenceRoom-T66,0.997477762583958,578049
conferenceRoom-T67,0.997489779775938,590469
conferenceRoom-T68,0.997449120219939,602631
conferenceRoom-T69,0.997403226611083,620337
conferenceRoom-T70,0.997409222363924,637986
conferenceRoom-T71,0.9974074387826,656172
conferenceRoom-T72,0.997375875802187,669798
conferenceRoom-T73,0.997369466354634,678960
conferenceRoom-T74,0.997363243761711,686130
conferenceRoom-T75,0.997354690182639,691176
conferenceRoom-T76,0.997351037818364,695664
conferenceRoom-T77,0.997346389251925,701388
conferenceRoom-T78,0.997348737932463,706047
conferenceRoom-T79,0.997345357811244,710424
conferenceRoom-T80,0.997345004156444,719634
conferenceRoom-T81,0.99734502067059,728502
conferenceRoom-T82,0.997359609088347,745230
conferenceRoom-T83,0.997369503592423,766242
conferenceRoom-T84,0.99738454744484,780312
conferenceRoom-T85,0.99738374532754,786927
conferenceRoom-T86,0.997381082077514,791178
conferenceRoom-T87,0.997376168875433,798111
conferenceRoom-T88,0.997372497181649,811284
conferenceRoom-T89,0.997364679261058,826935
conferenceRoom-T90,0.997360699536062,839484
conferenceRoom-T91,0.997350534747644,848712
conferenceRoom-T92,0.997344439323939,857484
conferenceRoom-T93,0.997333837113245,867342
conferenceRoom-T94,0.997330379495949,873087
conferenceRoom-T95,0.9973222662669,880953
conferenceRoom-T96,0.997316005087584,886953
conferenceRoom-T97,0.997314428110968,894534
conferenceRoom-T98,0.99731719852527,903522
conferenceRoom-T99,0.99731667340412,916206
conferenceRoom-T100,0.997314942136107,929592
conferenceRoom-T101,0.997294815332868,942480
conferenceRoom-T102,0.997289137179182,953982
conferenceRoom-T103,0.997283936472169,962652
conferenceRoom-T104,0.997281053823256,969252
conferenceRoom-T105,0.997277870497333,974082
conferenceRoom-T106,0.99727636774917,975831
conferenceRoom-T107,0.997276052695091,976170
conferenceRoom-T108,0.99727721636196,983427
conferenceRoom-T109,0.997281475774517,991746
conferenceRoom-T110,0.997284500601542,1003470
conferenceRoom-T111,0.997283616336018,1009221
conferenceRoom-T112,0.997282093185033,1017246
conferenceRoom-T113,0.99727990942375,1026105
conferenceRoom-T114,0.997270089575323,1037940
conferenceRoom-T115,0.997263426494648,1051344
conferenceRoom-T116,0.997262128871409,1064781
conferenceRoom-T117,0.997260731464582,1073724
conferenceRoom-T118,0.99725899244618,1081455
conferenceRoom-T119,0.99725528061973,1087956
conferenceRoom-T120,0.997248564046426,1097184
conferenceRoom-T121,0.997244079793032,1103817
conferenceRoom-T122,0.99724115688163,1108713
conferenceRoom-T123,0.997240619546227,1112754
conferenceRoom-T124,0.997237351341482,1117254
conferenceRoom-T125,0.99723607071942,1123170
conferenceRoom-T126,0.997228241236647,1133790
conferenceRoom-T127,0.997225309223969,1143975
conferenceRoom-T128,0.997220163199359,1153476
