Filename,Symmetric Similarity,Cloud Size
hallway-T0,0.901231837032209,108
hallway-T1,0.973186847224447,330
hallway-T2,0.988919998470058,663
hallway-T3,0.997826781844059,6474
hallway-T4,0.998675870790605,14646
hallway-T5,0.998751805596626,22557
hallway-T6,0.998836272791178,29352
hallway-T7,0.998845566874241,36276
hallway-T8,0.998853108122209,43107
hallway-T9,0.998832434342731,49209
hallway-T10,0.998859373767186,56673
hallway-T11,0.998879834398737,61752
hallway-T12,0.998876333300514,65622
hallway-T13,0.998866335504117,68307
hallway-T14,0.998791203366071,70731
hallway-T15,0.998744804767009,72540
hallway-T16,0.998738263029581,73674
hallway-T17,0.9986621301273,76368
hallway-T18,0.998649991341441,81102
hallway-T19,0.998600061685989,84468
hallway-T20,0.9985936335877,90489
hallway-T21,0.998590002152826,93429
hallway-T22,0.998249294433201,100032
hallway-T23,0.998184768929211,107892
hallway-T24,0.998101579199903,114063
hallway-T25,0.998044555666145,119310
hallway-T26,0.997947770381226,124314
hallway-T27,0.997911135727159,130161
hallway-T28,0.997866421393426,135693
hallway-T29,0.997858901514678,140832
hallway-T30,0.997859236003831,142128
hallway-T31,0.997865658811775,144435
hallway-T32,0.997866003302421,150201
hallway-T33,0.997863987943124,151785
hallway-T34,0.997863822899799,152709
hallway-T35,0.997823794244642,158031
hallway-T36,0.997693054404086,165531
hallway-T37,0.997645774394542,173520
hallway-T38,0.997611580039719,180618
hallway-T39,0.99753749251742,189489
hallway-T40,0.997484875979996,195714
hallway-T41,0.997378883217079,200697
hallway-T42,0.997377112201091,207423
hallway-T43,0.997347618013369,214968
hallway-T44,0.997349291344771,221172
hallway-T45,0.997297227299279,227667
hallway-T46,0.997205591615568,235125
hallway-T47,0.997196974991556,239826
hallway-T48,0.997175446298919,244365
hallway-T49,0.997128029282076,248994
hallway-T50,0.997001392369792,256269
hallway-T51,0.99698192651094,262260
hallway-T52,0.99693415550633,269907
hallway-T53,0.996906119444763,277722
hallway-T54,0.996817227223763,285372
hallway-T55,0.996762713279577,291888
hallway-T56,0.996757433100912,300390
hallway-T57,0.996689987261019,309435
hallway-T58,0.996606225872453,317910
hallway-T59,0.996572451549415,326688
hallway-T60,0.996436455417725,334227
hallway-T61,0.996400904874905,341304
hallway-T62,0.996339368104237,349215
hallway-T63,0.996261099388391,356997
hallway-T64,0.996241560448647,364242
hallway-T65,0.996169968235866,371031
hallway-T66,0.996164962418737,373494
hallway-T67,0.996161830187808,377376
hallway-T68,0.996151884077296,382914
hallway-T69,0.996145833359172,388176
hallway-T70,0.996140293002848,389574
hallway-T71,0.996135909670454,394002
hallway-T72,0.996013638193885,401310
hallway-T73,0.995972623866999,410136
hallway-T74,0.995880372114921,416496
hallway-T75,0.99584119663328,422571
hallway-T76,0.995765969180143,432636
hallway-T77,0.995752661932607,441459
hallway-T78,0.995741057486307,448737
hallway-T79,0.995736316911972,453990
hallway-T80,0.995727138208092,459315
hallway-T81,0.995480678090754,466560
hallway-T82,0.99545570281654,474423
hallway-T83,0.995448567366094,479997
hallway-T84,0.995457371338744,485592
hallway-T85,0.995436233576855,490554
hallway-T86,0.995355581252974,495705
hallway-T87,0.995327365067106,503469
hallway-T88,0.995313196614079,509583
hallway-T89,0.995298676969998,514563
hallway-T90,0.995281387872959,518091
hallway-T91,0.995214434863154,520899
hallway-T92,0.995204273182253,526020
hallway-T93,0.995201982162709,532395
hallway-T94,0.995182715292906,536121
hallway-T95,0.995177974853187,537705
hallway-T96,0.995175082594717,539520
hallway-T97,0.995172415743237,543321
