file,time_dec_ns,time_enc_ns,num_points,enc_file_size_bits,bpp
T0-8328.ply,2157620,5592086,8328,136080,16.340057636887607
T1-23427.ply,3781417,4921618,23427,368384,15.724762026721304
T2-30933.ply,4516955,6497461,30933,482624,15.602237093072123
T3-40257.ply,5900120,8239858,40257,623320,15.483518394316516
T4-47427.ply,6820058,9686390,47427,731016,15.413498640015181
T5-54780.ply,7975773,11237032,54780,840496,15.343117926250457
T6-59004.ply,8359705,11839128,59004,902344,15.292929292929292
T7-69972.ply,9925883,13557306,69972,1062832,15.189390041730977
T8-84201.ply,11698187,15873285,84201,1252152,14.870987280436099
T9-99894.ply,13432843,20182221,99894,1483240,14.848139027369012
T10-113967.ply,15541773,21067571,113967,1684400,14.779716935604165
T11-131043.ply,17518721,24784195,131043,1931584,14.740077684424197
T12-148431.ply,19783303,27836705,148431,2181168,14.694827899832246
T13-163482.ply,21665751,30508634,163482,2391640,14.629378157840007
T14-179700.ply,23791821,33831531,179700,2614200,14.547579298831385
T15-198267.ply,26446749,36786904,198267,2870224,14.476559387089127
T16-216339.ply,28354190,40094385,216339,3118672,14.415671700433117
T17-230022.ply,30047731,42370575,230022,3301864,14.35455739016268
T18-238572.ply,30753289,44000583,238572,3413976,14.310044766359841
T19-245931.ply,34306510,98176873,245931,3512088,14.280786074142748
T20-253812.ply,32997150,46580922,253812,3616736,14.249665106456748
T21-261024.ply,50736158,200150739,261024,3709664,14.211965183278165
T22-268314.ply,34844827,49272577,268314,3805056,14.18135468145531
T23-270435.ply,35283093,49948681,270435,3831112,14.166479930482371
T24-278226.ply,35858295,51131547,278226,3923920,14.103354826651715
T25-289233.ply,37375925,52908041,289233,4074016,14.085584978200966
T26-294417.ply,38243155,53459817,294417,4141760,14.067665929616837
T27-301719.ply,39642641,55317921,301719,4236912,14.04257603929484
T28-320094.ply,41975392,59219561,320094,4485240,14.012258898948433
T29-336429.ply,43733244,61800212,336429,4694512,13.953945706226277
T30-350622.ply,45588163,64112154,350622,4880928,13.92076937556685
T31-365175.ply,46530616,66888698,365175,5068952,13.880884507427945
T32-377412.ply,48830275,68532774,377412,5224144,13.842018801733914
T33-396552.ply,51017303,71855182,396552,5477040,13.811656478847667
T34-411756.ply,52441392,74119042,411756,5675136,13.782764549879055
T35-418098.ply,52939839,74312432,418098,5756552,13.768427497859353
T36-424671.ply,54277752,76303795,424671,5841112,13.75444049629007
T37-429597.ply,54979561,77627816,429597,5903688,13.742386469179253
T38-434595.ply,55797813,78371826,434595,5967448,13.731055350383691
T39-445407.ply,56744992,80747526,445407,6105848,13.708468883515526
T40-457323.ply,58034515,83655359,457323,6258520,13.685119707515257
T41-468123.ply,60159267,84708712,468123,6397584,13.666459456168571
T42-475410.ply,61327685,86500202,475410,6489624,13.650583706695274
T43-483501.ply,62310819,87873709,483501,6592328,13.634569525192296
T44-493503.ply,62959636,89616470,493503,6718528,13.613955740897218
T45-503343.ply,64272726,91587665,503343,6842808,13.594721690775476
T46-511395.ply,66225618,93094087,511395,6941480,13.573617262585673
T47-522258.ply,67086180,95738050,522258,7079608,13.555767455931743
T48-531960.ply,68249645,96710487,531960,7201704,13.538055492894202
T49-535677.ply,68071780,97948926,535677,7248208,13.530930019396017
T50-538530.ply,67823598,97054927,538530,7283800,13.525337492804486
T51-539571.ply,68274424,97957100,539571,7295656,13.521215928950962
T52-542820.ply,69563665,99081325,542820,7335776,13.5141962344792
T53-547500.ply,69966536,99291398,547500,7395064,13.506966210045663
T54-551079.ply,70005164,99676211,551079,7440464,13.501628623119371
