Filename,Symmetric Similarity,Cloud Size
office-T0,0.998217419078543,8328
office-T1,0.99900470488531,23427
office-T2,0.999005747575489,30933
office-T3,0.999018687313631,40257
office-T4,0.998909941754241,47427
office-T5,0.998936109771694,54780
office-T6,0.998862495592857,59004
office-T7,0.998760582417614,69972
office-T8,0.998487272752742,84201
office-T9,0.998533260109899,99894
office-T10,0.998465909863283,113967
office-T11,0.998370377198357,131043
office-T12,0.998352137688527,148431
office-T13,0.998304454559819,163482
office-T14,0.998260544796901,179700
office-T15,0.998234478374227,198267
office-T16,0.998240091467181,216339
office-T17,0.998211133323996,230022
office-T18,0.998186375177987,238572
office-T19,0.99817665608871,245931
office-T20,0.99816242986618,253812
office-T21,0.998151931023706,261024
office-T22,0.998146456672166,268314
office-T23,0.998141264336137,270435
office-T24,0.998077813178023,278226
office-T25,0.998088936972504,289233
office-T26,0.998086298620231,294417
office-T27,0.998045602961702,301719
office-T28,0.998092469375548,320094
office-T29,0.997988345374189,336429
office-T30,0.997954932475995,350622
office-T31,0.997903204940473,365175
office-T32,0.997880738917594,377412
office-T33,0.997895957088818,396552
office-T34,0.997886683426003,411756
office-T35,0.997875405675706,418098
office-T36,0.997867992848404,424671
office-T37,0.997861780185917,429597
office-T38,0.997853463800565,434595
office-T39,0.99784128634803,445407
office-T40,0.997824706024533,457323
office-T41,0.997817476661258,468123
office-T42,0.997805833188691,475410
office-T43,0.997790255633635,483501
office-T44,0.997782053252582,493503
office-T45,0.997772981004872,503343
office-T46,0.997763329430861,511395
office-T47,0.997763184605859,522258
office-T48,0.997756350149584,531960
office-T49,0.997755670321995,535677
office-T50,0.997756330965736,538530
office-T51,0.997754735890497,539571
office-T52,0.997753778357282,542820
office-T53,0.997755459577434,547500
office-T54,0.997753973734149,551079
office-T55,0.997755826990754,557337
office-T56,0.997753677229004,562299
office-T57,0.99775405183661,571089
office-T58,0.997759696429062,583140
office-T59,0.997762051664681,594009
office-T60,0.997759299698249,599424
office-T61,0.997755952146813,607023
office-T62,0.997759548148642,620898
office-T63,0.997756012161759,633828
office-T64,0.997752007241611,640776
office-T65,0.997749168066836,644313
office-T66,0.997746115816941,652629
office-T67,0.997748302770398,660327
office-T68,0.997754493208178,673464
office-T69,0.997739020051204,691992
office-T70,0.997751630573593,714483
office-T71,0.997735600699134,735696
office-T72,0.997711624068542,757485
office-T73,0.997702846688023,770325
office-T74,0.997698188755749,777213
office-T75,0.997690264866635,785079
office-T76,0.997687038891534,794289
office-T77,0.997686270038505,803238
office-T78,0.997683499514787,808878
office-T79,0.997679776407394,818865
office-T80,0.997672952343503,829728
office-T81,0.997665577980839,839238
office-T82,0.997663512040659,847653
office-T83,0.997662046792183,851487
office-T84,0.997662790521016,858111
office-T85,0.997660531057253,864468
office-T86,0.997660498170216,868341
office-T87,0.997660723383056,876081
office-T88,0.997632273780112,892290
office-T89,0.997508179688848,903684
office-T90,0.997503283533132,910038
office-T91,0.997499771906529,914850
office-T92,0.997460401131815,921216
office-T93,0.997452693110005,928971
office-T94,0.997448865927109,938901
office-T95,0.99744754324729,951735
office-T96,0.99745189725356,964629
office-T97,0.997447735461967,973563
office-T98,0.997443902682487,981783
office-T99,0.997440424607051,986343
office-T100,0.997438655445411,990075
office-T101,0.997435678617003,996000
office-T102,0.997431475592035,1003683
office-T103,0.997427116690012,1011159
office-T104,0.997422740276124,1020270
office-T105,0.997421093076671,1035426
office-T106,0.997417811545848,1042449
office-T107,0.99738608615663,1053144
office-T108,0.997383349540877,1057554
office-T109,0.997382230655381,1065120
office-T110,0.997381377883765,1071159
office-T111,0.997378430793258,1075725
office-T112,0.997373773558957,1079748
office-T113,0.997371510695873,1082175
office-T114,0.99737014130899,1082778
office-T115,0.997368623861673,1085112
office-T116,0.997365565570047,1087941
office-T117,0.997361837586184,1091295
office-T118,0.997359783274138,1092495
