num_points,enc_file_size_bits,bpp,time_enc_ns,time_dec_ns,file
108,0,0.0,0,0,T0-108.ply
330,0,0.0,0,0,T1-330.ply
663,4616,20.887,197000000,178000000,T2-663.ply
6474,24072,11.155,522000000,425000000,T3-6474.ply
14646,52976,10.851,390000000,352000000,T4-14646.ply
22557,77888,10.36,596000000,395000000,T5-22557.ply
29352,98888,10.111,384000000,355000000,T6-29352.ply
36276,120664,9.982,475000000,368000000,T7-36276.ply
43107,141184,9.831,414000000,493000000,T8-43107.ply
49209,160192,9.77,486000000,393000000,T9-49209.ply

73674,231880,9.445,495000000,507000000,T16-73674.ply
76368,240600,9.454,511000000,952000000,T17-76368.ply
81102,254896,9.433,795000000,596000000,T18-81102.ply
84468,265480,9.431,518000000,487000000,T19-84468.ply
90489,285440,9.467,529000000,788000000,T20-90489.ply
93429,294576,9.462,871000000,506000000,T21-93429.ply
100032,316104,9.482,549000000,521000000,T22-100032.ply
107892,342216,9.519,565000000,536000000,T23-107892.ply
114063,362760,9.544,686000000,535000000,T24-114063.ply
119310,379160,9.536,781000000,594000000,T25-119310.ply
124314,396528,9.572,583000000,666000000,T26-124314.ply
130161,417760,9.632,594000000,561000000,T27-130161.ply
135693,436552,9.654,602000000,720000000,T28-135693.ply
140832,454808,9.69,819000000,588000000,T29-140832.ply
142128,458888,9.689,738000000,584000000,T30-142128.ply
144435,466912,9.7,689000000,588000000,T31-144435.ply
150201,486168,9.712,627000000,665000000,T32-150201.ply
151785,490880,9.705,630000000,604000000,T33-151785.ply
152709,494456,9.716,630000000,605000000,T34-152709.ply
158031,513472,9.75,683000000,651000000,T35-158031.ply
165531,540656,9.802,921000000,1032999999,T36-165531.ply
173520,568944,9.839,1046000000,673000000,T37-173520.ply
180618,592728,9.848,877000000,814000000,T38-180618.ply
189489,621704,9.846,968000000,910000000,T39-189489.ply
195714,641272,9.833,974000000,1352000000,T40-195714.ply
200697,656984,9.823,1016999999,839000000,T41-200697.ply
207423,679576,9.831,886000000,734000000,T42-207423.ply
214968,705136,9.844,810000000,991000000,T43-214968.ply
221172,725896,9.848,787000000,1012999999,T44-221172.ply
227667,747688,9.855,946000000,770000000,T45-227667.ply
235125,772144,9.855,954000000,1046999999,T46-235125.ply
239826,787056,9.848,1075000000,804000000,T47-239826.ply
244365,801608,9.844,922000000,1020999999,T48-244365.ply
248994,817608,9.854,1153000000,1086000000,T49-248994.ply
256269,843600,9.878,854000000,824000000,T50-256269.ply
