Filename,Symmetric Similarity,Cloud Size
hallway-T0,0.905989676047476,108
hallway-T1,0.898282395381903,330
hallway-T2,0.883167372756462,663
hallway-T3,0.919779881297165,6474
hallway-T4,0.904474235643854,14646
hallway-T5,0.898627199342683,22557
hallway-T6,0.889872675803518,29352
hallway-T7,0.886123669698092,36276
hallway-T8,0.879788253451431,43107
hallway-T9,0.877043092217072,49209
hallway-T10,0.878724965667914,56673
hallway-T11,0.875554651832248,61752
hallway-T12,0.875526513980585,65622
hallway-T13,0.873579449864305,68307
hallway-T14,0.871844133401718,70731
hallway-T15,0.87172083383962,72540
hallway-T16,0.869722325488901,73674
hallway-T17,0.867761527574815,76368
hallway-T18,0.869758300910727,81102
hallway-T19,0.870648017004467,84468
hallway-T20,0.873007531291523,90489
hallway-T21,0.873423385299046,93429
hallway-T22,0.875039759681624,100032
hallway-T23,0.876145568584376,107892
hallway-T24,0.876040552437422,114063
hallway-T25,0.876849612224482,119310
hallway-T26,0.878203042448605,124314
hallway-T27,0.879748201356241,130161
hallway-T28,0.880354160991068,135693
hallway-T29,0.881535116172735,140832
hallway-T30,0.880767580984659,142128
hallway-T31,0.881664293546272,144435
hallway-T32,0.881675520166935,150201
hallway-T33,0.880883353932175,151785
hallway-T34,0.880694471325261,152709
hallway-T35,0.882173201402236,158031
hallway-T36,0.883657894038952,165531
hallway-T37,0.883948071790442,173520
hallway-T38,0.884517310210868,180618
hallway-T39,0.884564364983151,189489
hallway-T40,0.883851901931192,195714
hallway-T41,0.884430941372154,200697
hallway-T42,0.884174428346433,207423
hallway-T43,0.884106615127996,214968
hallway-T44,0.884578041906523,221172
hallway-T45,0.884182026496269,227667
hallway-T46,0.884366042298715,235125
hallway-T47,0.884523816279228,239826
hallway-T48,0.883820643119753,244365
hallway-T49,0.884537270844084,248994
hallway-T50,0.885358723196592,256269
hallway-T51,0.885601766160117,262260
hallway-T52,0.886195298991895,269907
hallway-T53,0.885982184455976,277722
hallway-T54,0.885906003529981,285372
hallway-T55,0.885434602215413,291888
hallway-T56,0.886302885222555,300390
hallway-T57,0.886697624637593,309435
hallway-T58,0.887794299786339,317910
hallway-T59,0.88801932930265,326688
hallway-T60,0.887019838050818,334227
hallway-T61,0.887328637312342,341304
hallway-T62,0.887617157296571,349215
hallway-T63,0.887453416582371,356997
hallway-T64,0.887773731036911,364242
hallway-T65,0.888427367829935,371031
hallway-T66,0.887820107308367,373494
hallway-T67,0.887507193998453,377376
hallway-T68,0.887592932142217,382914
hallway-T69,0.887078172433675,388176
hallway-T70,0.887566722131159,389574
hallway-T71,0.887549488478483,394002
hallway-T72,0.887526611241302,401310
hallway-T73,0.887470598023448,410136
hallway-T74,0.887585611725934,416496
hallway-T75,0.887986487057335,422571
hallway-T76,0.888334070160913,432636
hallway-T77,0.888929708780615,441459
hallway-T78,0.888856428376439,448737
hallway-T79,0.888367361781062,453990
hallway-T80,0.888718401270458,459315
hallway-T81,0.889160908371444,466560
hallway-T82,0.888576441177458,474423
hallway-T83,0.888918852516161,479997
hallway-T84,0.888915713367777,485592
hallway-T85,0.888808182007649,490554
hallway-T86,0.888222908167746,495705
hallway-T87,0.888383256529678,503469
hallway-T88,0.888284634428855,509583
hallway-T89,0.887946718068409,514563
hallway-T90,0.887623563263461,518091
hallway-T91,0.88796733147558,520899
hallway-T92,0.887532939475677,526020
hallway-T93,0.887269557495478,532395
hallway-T94,0.886886613028327,536121
hallway-T95,0.886782469080275,537705
hallway-T96,0.886792686679847,539520
hallway-T97,0.886751478120437,543321
hallway-T98,0.886815650395115,548904
hallway-T99,0.886903728911981,553926
hallway-T100,0.886836160892519,559836
hallway-T101,0.886394903257059,566262
hallway-T102,0.886228893337354,574992
hallway-T103,0.886662386684881,583065
hallway-T104,0.886841162052041,589404
hallway-T105,0.8870119138853,596406
hallway-T106,0.88640087215455,601398
hallway-T107,0.886116830430677,608688
hallway-T108,0.88654236835586,615276
hallway-T109,0.885765547869493,618990
hallway-T110,0.885996083043561,621498
hallway-T111,0.886153058342673,626598
hallway-T112,0.886011999312602,631677
hallway-T113,0.885400844209698,635799
hallway-T114,0.885651031623175,639555
hallway-T115,0.885950695699201,647610
hallway-T116,0.885552295030059,653757
hallway-T117,0.886126398951581,657351
hallway-T118,0.885573128456797,664647
hallway-T119,0.885574488344063,667470
hallway-T120,0.88549518171397,672087
hallway-T121,0.885681617359207,680001
hallway-T122,0.885127605015974,682680
hallway-T123,0.88486939485,685710
hallway-T124,0.88475857020062,693474
