Filename,Symmetric Similarity,Cloud Size
auditorium-T0,0.915972890828023,2550
auditorium-T1,0.911858663792808,13563
auditorium-T2,0.898662173067244,24081
auditorium-T3,0.892528305977817,37614
auditorium-T4,0.884714288166836,48780
auditorium-T5,0.878030180549439,58377
auditorium-T6,0.875668226853545,63867
auditorium-T7,0.873559956751742,67458
auditorium-T8,0.874874852931245,71085
auditorium-T9,0.874910655153812,75666
auditorium-T10,0.874557842676917,78525
auditorium-T11,0.875487862933032,85095
auditorium-T12,0.875108911621928,90561
auditorium-T13,0.875067185049832,96936
auditorium-T14,0.877596597308746,109467
auditorium-T15,0.878406628269144,120135
auditorium-T16,0.878561254792581,130767
auditorium-T17,0.879214800516109,140880
auditorium-T18,0.88096829523773,152439
auditorium-T19,0.882186971051233,166962
auditorium-T20,0.881709641902806,182937
auditorium-T21,0.880199422948249,193518
auditorium-T22,0.878257294163618,200538
auditorium-T23,0.877330930763495,204687
auditorium-T24,0.876650484874094,206772
auditorium-T25,0.876918143298699,207267
auditorium-T26,0.87681247276566,207702
auditorium-T27,0.875977207005357,209565
auditorium-T28,0.875059014463163,213033
auditorium-T29,0.87444948841596,217587
auditorium-T30,0.873836793963982,221697
auditorium-T31,0.873482983973755,224214
auditorium-T32,0.874827467034211,233019
auditorium-T33,0.875332518321591,241311
auditorium-T34,0.875688474331657,249378
auditorium-T35,0.876049270616354,256830
auditorium-T36,0.876491359284962,263379
auditorium-T37,0.876935797492197,269877
auditorium-T38,0.87734655484339,274713
auditorium-T39,0.877408807755102,279141
auditorium-T40,0.877388859505163,283179
auditorium-T41,0.877875623721893,287733
auditorium-T42,0.878545032651241,293688
auditorium-T43,0.879833339895863,304794
auditorium-T44,0.880753518748359,317250
auditorium-T45,0.880700436390649,327447
auditorium-T46,0.881044665261378,338292
auditorium-T47,0.881992689304297,354018
auditorium-T48,0.88269957429799,369408
auditorium-T49,0.882882682304084,383916
auditorium-T50,0.882502841810706,395757
auditorium-T51,0.882099276944922,403947
auditorium-T52,0.881771590259151,408798
auditorium-T53,0.881310992144446,411516
auditorium-T54,0.881138200267769,416148
auditorium-T55,0.881239670559296,426330
auditorium-T56,0.881217176880402,436425
auditorium-T57,0.881013802762311,445266
auditorium-T58,0.880799008099683,454752
auditorium-T59,0.880655710450051,469017
auditorium-T60,0.88029848324411,472242
auditorium-T61,0.880052767828303,474066
auditorium-T62,0.879874586201651,479985
auditorium-T63,0.880277962568329,489090
auditorium-T64,0.880267543764507,496179
auditorium-T65,0.880238676775087,500874
auditorium-T66,0.880726420431068,509850
auditorium-T67,0.880658440861326,513981
auditorium-T68,0.880713295998001,519507
auditorium-T69,0.880856132765915,524013
auditorium-T70,0.880894426387356,528450
auditorium-T71,0.880957919883606,534360
auditorium-T72,0.881070669053441,540042
auditorium-T73,0.881022348498033,545643
auditorium-T74,0.881025798946259,550140
auditorium-T75,0.880959706004956,555045
auditorium-T76,0.880858579265421,559503
auditorium-T77,0.8807698932578,563886
auditorium-T78,0.880651933954461,568503
auditorium-T79,0.880658670564651,573771
auditorium-T80,0.880810997160909,579396
auditorium-T81,0.881140338144941,589647
auditorium-T82,0.881180357286001,599589
auditorium-T83,0.881189767162684,607566
auditorium-T84,0.881564522508297,617799
auditorium-T85,0.881963176304068,631407
auditorium-T86,0.882129062381808,645444
auditorium-T87,0.881966790542057,658929
auditorium-T88,0.881790982750473,669582
auditorium-T89,0.881599329295417,678060
auditorium-T90,0.881564843316008,686640
auditorium-T91,0.881241963123705,693024
auditorium-T92,0.881565542962242,702906
auditorium-T93,0.882130790046101,720333
auditorium-T94,0.882181248672299,734859
auditorium-T95,0.88202460496865,749175
auditorium-T96,0.881728927072894,754428
auditorium-T97,0.88164769252062,756081
auditorium-T98,0.881519198721444,757587
auditorium-T99,0.881548925503319,760212
auditorium-T100,0.881907269042685,769653
auditorium-T101,0.881944220545471,776637
auditorium-T102,0.881917859164597,781332
auditorium-T103,0.88190381837626,785247
auditorium-T104,0.881838741168262,789552
auditorium-T105,0.881784460846579,794847
auditorium-T106,0.881743297183702,798909
auditorium-T107,0.881675692828049,800172
auditorium-T108,0.881758593956486,802155
auditorium-T109,0.881839034562731,804510
auditorium-T110,0.881957639016225,809352
auditorium-T111,0.882065418256285,816243
auditorium-T112,0.882067813181709,816939
auditorium-T113,0.882058052307853,817311
auditorium-T114,0.882139563682192,823959
auditorium-T115,0.882066981265892,829941
auditorium-T116,0.882215566216729,836160
auditorium-T117,0.882396159553936,841356
auditorium-T118,0.882468377671306,846534
auditorium-T119,0.882555545385119,852081
auditorium-T120,0.882620555691873,858243
auditorium-T121,0.882834925732726,867108
auditorium-T122,0.883099700655448,878829
auditorium-T123,0.883549072374611,890541
auditorium-T124,0.883796566600314,899727
auditorium-T125,0.884009363914271,911100
auditorium-T126,0.884053669137692,918822
auditorium-T127,0.884008427196227,926376
auditorium-T128,0.883877164534598,933495
auditorium-T129,0.883849810431874,939330
auditorium-T130,0.883813622596822,944607
auditorium-T131,0.88370286179159,948705
auditorium-T132,0.883678898667934,953214
auditorium-T133,0.883609447264716,959028
auditorium-T134,0.883621424879475,967848
auditorium-T135,0.883622045816751,978174
auditorium-T136,0.883690694314418,982014
auditorium-T137,0.883790478021006,988440
auditorium-T138,0.883758847815738,995679
auditorium-T139,0.883686641877308,1001412
auditorium-T140,0.883583655927011,1005978
auditorium-T141,0.883472187760473,1012098
auditorium-T142,0.883464011033412,1019193
auditorium-T143,0.883600327846878,1026543
auditorium-T144,0.883598791760764,1032018
auditorium-T145,0.883588830833439,1036593
auditorium-T146,0.883526152160764,1040115
auditorium-T147,0.88346105180398,1044570
auditorium-T148,0.883441288642918,1049775
auditorium-T149,0.883433213204692,1055448
auditorium-T150,0.883484822648587,1061754
auditorium-T151,0.883595933884548,1071315
auditorium-T152,0.883630605966299,1082628
auditorium-T153,0.883540917482013,1093350
auditorium-T154,0.883493150418413,1101384
auditorium-T155,0.88339352356951,1107093
auditorium-T156,0.883195094779026,1112832
auditorium-T157,0.883025393073025,1118841
auditorium-T158,0.883061653963849,1129029
auditorium-T159,0.883064539519932,1137168
auditorium-T160,0.883137868538019,1144509
auditorium-T161,0.883036785958608,1152753
auditorium-T162,0.882958227067282,1158861
auditorium-T163,0.882895398536232,1166568
auditorium-T164,0.882810178510152,1171344
auditorium-T165,0.882761417797422,1175730
auditorium-T166,0.88269882274992,1181571
auditorium-T167,0.882587860237496,1187784
auditorium-T168,0.882531709564015,1195149
auditorium-T169,0.882431404705153,1204401
auditorium-T170,0.882405456116982,1211295
auditorium-T171,0.882370512909343,1216374
auditorium-T172,0.882356727582705,1222080
auditorium-T173,0.882505340123002,1231044
auditorium-T174,0.882741302196832,1244934
auditorium-T175,0.882842830708326,1254897
auditorium-T176,0.882833405548459,1261704
auditorium-T177,0.881395318766613,1249776
auditorium-T178,0.881287803472764,1256208
auditorium-T179,0.881180223315082,1261797
auditorium-T180,0.881151117919462,1265592
auditorium-T181,0.881013397071256,1270899
auditorium-T182,0.880848620552716,1273821
auditorium-T183,0.880792433542859,1275612
auditorium-T184,0.880844049055435,1280682
auditorium-T185,0.880874715954187,1286973
auditorium-T186,0.880935552689456,1292199
auditorium-T187,0.881051726196831,1299885
auditorium-T188,0.881057639287243,1305225
auditorium-T189,0.881006340814269,1308222
auditorium-T190,0.8809614779326,1312620
auditorium-T191,0.88093180421307,1318851
auditorium-T192,0.880852672193761,1323738
auditorium-T193,0.880708475276299,1329471
auditorium-T194,0.880636236484265,1335522
auditorium-T195,0.880623794804286,1343466
