time_dec_ns,num_points,enc_file_size_bits,bpp,time_enc_ns,file
20379552,5175,20600,3.9806763285024154,12981758,T0-5175.ply
72950629,14730,57024,3.8712830957230144,114338058,T1-14730.ply
54006871,29511,108320,3.6704957473484465,101111352,T2-29511.ply
28746171,47790,167952,3.514375392341494,70090508,T3-47790.ply
35623029,61587,209800,3.406563073375875,74618834,T4-61587.ply
93660226,73932,247680,3.350105502353514,179758071,T5-73932.ply
42906609,82506,272720,3.3054565728553076,399853831,T6-82506.ply
46769480,89670,293760,3.276012044161927,311028246,T7-89670.ply
51591825,93132,302888,3.252244126615986,110621675,T8-93132.ply
49441073,96567,312296,3.233982623463502,115036999,T9-96567.ply
165687360,98448,317032,3.2202990411181536,115329014,T10-98448.ply
182805426,104037,332880,3.1996309005449985,251664287,T11-104037.ply
182093780,115539,369288,3.196219458364708,279549365,T12-115539.ply
96683750,125196,398880,3.186044282564938,269975061,T13-125196.ply
62855179,132207,419592,3.1737502552814902,150540319,T14-132207.ply
65085753,137286,435904,3.1751526011392275,157175746,T15-137286.ply
84977628,147120,470152,3.1957041870581837,229224826,T16-147120.ply
214412800,157638,506320,3.211915908600718,235434683,T17-157638.ply
200367347,164571,528160,3.209313913143871,190095782,T18-164571.ply
79726664,168726,540288,3.20216208527435,227921986,T19-168726.ply
233221208,174573,558448,3.1989368344474802,216225773,T20-174573.ply
271108945,183324,587968,3.2072614605834477,209102083,T21-183324.ply
94227042,195216,630808,3.2313334972543233,230155559,T22-195216.ply
98038923,208257,677168,3.251597785428581,245221429,T23-208257.ply
106560335,225081,737784,3.277859970410652,266716696,T24-225081.ply
111254407,237870,779816,3.278328498759827,278331227,T25-237870.ply
208082104,247605,809480,3.2692393126148502,512917632,T26-247605.ply
180319355,255867,833832,3.258849324062892,444161422,T27-255867.ply
121485425,262026,851680,3.250364467648249,427106414,T28-262026.ply
450659559,265305,860864,3.2448088049603285,419395963,T29-265305.ply
232536451,271791,879192,3.234809099639061,513092234,T30-271791.ply
137607620,285642,924016,3.234874423229077,462913639,T31-285642.ply
284656015,295611,954080,3.2274847688347186,343750251,T32-295611.ply
173903269,301077,970352,3.222936325258987,465529741,T33-301077.ply
137695772,304557,980120,3.2181824748733407,383027091,T34-304557.ply
138443287,307242,987744,3.2148729665865994,356173605,T35-307242.ply
151660030,314568,1014536,3.225172299788917,365934283,T36-314568.ply
