Filename,Symmetric Similarity,Cloud Size
conferenceRoom-T0,0.92207792229523,5175
conferenceRoom-T1,0.920769715693871,14730
conferenceRoom-T2,0.912256056663588,29511
conferenceRoom-T3,0.901488764961062,47790
conferenceRoom-T4,0.891781194064416,61587
conferenceRoom-T5,0.886444287915074,73932
conferenceRoom-T6,0.882268477919051,82506
conferenceRoom-T7,0.878489160711394,89670
conferenceRoom-T8,0.876391599792649,93132
conferenceRoom-T9,0.875607187558544,96567
conferenceRoom-T10,0.87518514610354,98448
conferenceRoom-T11,0.873317577234304,104037
conferenceRoom-T12,0.872859327472844,115539
conferenceRoom-T13,0.871935642846188,125196
conferenceRoom-T14,0.870669035704855,132207
conferenceRoom-T15,0.8706640697739,137286
conferenceRoom-T16,0.872226229989999,147120
conferenceRoom-T17,0.873197972129122,157638
conferenceRoom-T18,0.873062380736012,164571
conferenceRoom-T19,0.87308766346774,168726
conferenceRoom-T20,0.872157224651138,174573
conferenceRoom-T21,0.872243490338743,183324
conferenceRoom-T22,0.87433982554511,195216
conferenceRoom-T23,0.875862684215765,208257
conferenceRoom-T24,0.877889802812631,225081
conferenceRoom-T25,0.878165475884772,237870
conferenceRoom-T26,0.877439094239903,247605
conferenceRoom-T27,0.876698015449713,255867
conferenceRoom-T28,0.875939538335057,262026
conferenceRoom-T29,0.875394604445671,265305
conferenceRoom-T30,0.874387159978319,271791
conferenceRoom-T31,0.87446511610583,285642
conferenceRoom-T32,0.873676548801768,295611
conferenceRoom-T33,0.873324281161644,301077
conferenceRoom-T34,0.872818169024457,304557
conferenceRoom-T35,0.872501822992202,307242
conferenceRoom-T36,0.87299131120426,314568
conferenceRoom-T37,0.873326356647867,320382
conferenceRoom-T38,0.873622418024273,327219
conferenceRoom-T39,0.874227530020699,332808
conferenceRoom-T40,0.874915191167413,338754
conferenceRoom-T41,0.875036829946957,343662
conferenceRoom-T42,0.875298204189744,349719
conferenceRoom-T43,0.875916054771679,360297
conferenceRoom-T44,0.876050643598233,375027
conferenceRoom-T45,0.876170910577562,389937
conferenceRoom-T46,0.876180079019707,402414
conferenceRoom-T47,0.877099474367042,415908
conferenceRoom-T48,0.878184157932095,426903
conferenceRoom-T49,0.878949003085601,441654
conferenceRoom-T50,0.878926367120986,453591
conferenceRoom-T51,0.878420380178982,462555
conferenceRoom-T52,0.878093228694717,469242
conferenceRoom-T53,0.877724911810016,474075
conferenceRoom-T54,0.877562044253224,480234
conferenceRoom-T55,0.877422390668306,486012
conferenceRoom-T56,0.876984188215694,492003
conferenceRoom-T57,0.876816580374144,494814
conferenceRoom-T58,0.876792827987183,500433
conferenceRoom-T59,0.877015125447929,510372
conferenceRoom-T60,0.877191838642551,522372
conferenceRoom-T61,0.877507864555621,534957
conferenceRoom-T62,0.877539238259174,544488
conferenceRoom-T63,0.877336329325012,551583
conferenceRoom-T64,0.877735571107495,562743
conferenceRoom-T65,0.878067232075579,569049
conferenceRoom-T66,0.878328234752483,578049
conferenceRoom-T67,0.878778257000687,590469
conferenceRoom-T68,0.878983649580996,602631
conferenceRoom-T69,0.879140018459622,620337
conferenceRoom-T70,0.879503230166036,637986
conferenceRoom-T71,0.879514675243342,656172
conferenceRoom-T72,0.879430640021845,669798
conferenceRoom-T73,0.879209045878287,678960
conferenceRoom-T74,0.878896997717732,686130
conferenceRoom-T75,0.878563676114372,691176
