file,enc_file_size_bits,time_dec_ns,time_enc_ns,bpp,num_points
T0-108.ply,832,6608898,7333768,7.703703703703703,108
T1-330.ply,1544,10894735,11775558,4.678787878787879,330
T2-663.ply,2832,16628388,14348454,4.271493212669683,663
T3-6474.ply,24360,15882987,36448956,3.76274328081557,6474
T4-14646.ply,53048,12766806,26340028,3.6220128362692887,14646
T5-22557.ply,78440,85394712,81494083,3.4774127765217004,22557
T6-29352.ply,99152,22842473,175026208,3.378032161351867,29352
T7-36276.ply,120896,22107375,46147771,3.3326717388907268,36276
T8-43107.ply,141192,24799109,171375658,3.2753845083165145,43107
T9-49209.ply,160048,103895372,60193460,3.252413176451462,49209
T10-56673.ply,183680,30872503,232757112,3.2410495297584387,56673
T11-61752.ply,198904,33115495,138050195,3.2210130845964504,61752
T12-65622.ply,210048,123820632,77856021,3.2008777544116302,65622
T13-68307.ply,217360,36209922,252221232,3.1821043231294013,68307
T14-70731.ply,223912,48054559,87435383,3.1656840706338096,70731
T15-72540.ply,230208,37110273,129172466,3.1735318444995864,72540
T16-73674.ply,232920,146615930,129673033,3.161495235768385,73674
T17-76368.ply,240816,145375494,229838207,3.153362664990572,76368
T18-81102.ply,255992,44083814,123866034,3.156420310226628,81102
T19-84468.ply,267456,42997086,263944139,3.1663588577923,84468
T20-90489.ply,288368,45263148,272493007,3.1867740830377174,90489
T21-93429.ply,297248,158942707,110001739,3.1815389226043305,93429
T22-100032.ply,320304,49550794,269310888,3.202015355086372,100032
T23-107892.ply,346640,53246935,202767417,3.2128424721017312,107892
T24-114063.ply,363872,55230922,266611890,3.1900967009459684,114063
T25-119310.ply,380512,194806469,184226901,3.1892716452937724,119310
T26-124314.ply,397896,190944007,277098164,3.200733626140258,124314
T27-130161.ply,420272,180103412,174895467,3.228862716174584,130161
T28-135693.ply,439112,76585532,259187203,3.2360696572409777,135693
T29-140832.ply,457760,192381289,196290344,3.2503976369007046,140832
T30-142128.ply,462000,68926174,378383359,3.2505910165484635,142128
T31-144435.ply,469768,201907610,284905033,3.252452660366255,144435
T32-150201.ply,489784,72467811,321570703,3.2608571181283748,150201
T33-151785.ply,494432,85937270,295835660,3.257449682116151,151785
T34-152709.ply,497192,209119340,181599229,3.2558133443346495,152709
T35-158031.ply,518512,77297647,310744877,3.281077763223671,158031
T36-165531.ply,546712,205234023,196263512,3.302777123318291,165531
T37-173520.ply,575320,171619729,326201907,3.315583218072845,173520
T38-180618.ply,599568,86573778,216437386,3.3195362588446335,180618
T39-189489.ply,628216,121477267,222151398,3.3153164563642217,189489
T40-195714.ply,646648,92533218,231549958,3.3040456993367875,195714
T41-200697.ply,663048,95721732,303435052,3.3037265131018403,200697
T42-207423.ply,686240,98188659,287566036,3.3084084214383167,207423
T43-214968.ply,713040,245557804,381733354,3.3169588031707047,214968
T44-221172.ply,733912,231641531,260845315,3.3182862206789285,221172
