Filename,Symmetric Similarity,Cloud Size
hallway-T0,0.903850996102112,108
hallway-T1,0.9030742965813,330
hallway-T2,0.906027742303351,663
hallway-T3,0.918640266773435,6474
hallway-T4,0.90628879438236,14646
hallway-T5,0.900596828351997,22557
hallway-T6,0.893324504967913,29352
hallway-T7,0.887241147887618,36276
hallway-T8,0.883221191632051,43107
hallway-T9,0.881220346023551,49209
hallway-T10,0.88139139016098,56673
hallway-T11,0.8800979798452,61752
hallway-T12,0.87877977489255,65622
hallway-T13,0.87695715506323,68307
hallway-T14,0.875813612579875,70731
hallway-T15,0.874902464610275,72540
hallway-T16,0.874078608248644,73674
hallway-T17,0.873092481799867,76368
hallway-T18,0.874017725232158,81102
hallway-T19,0.875236675803953,84468
hallway-T20,0.877163553568231,90489
hallway-T21,0.87696470279971,93429
hallway-T22,0.877951258298994,100032
hallway-T23,0.879262262118049,107892
hallway-T24,0.878695790196088,114063
hallway-T25,0.878544955684916,119310
hallway-T26,0.878916376554686,124314
hallway-T27,0.881163121954397,130161
hallway-T28,0.881859859258125,135693
hallway-T29,0.882509684743227,140832
hallway-T30,0.88262473757833,142128
hallway-T31,0.882557103857607,144435
hallway-T32,0.882130088651978,150201
hallway-T33,0.881768762909068,151785
hallway-T34,0.881607702842069,152709
hallway-T35,0.883163588424059,158031
hallway-T36,0.88453160876883,165531
hallway-T37,0.885324908189895,173520
hallway-T38,0.88550380687702,180618
hallway-T39,0.885186840916318,189489
hallway-T40,0.884448655648088,195714
hallway-T41,0.884114151948832,200697
hallway-T42,0.884362855362307,207423
hallway-T43,0.884989766777038,214968
hallway-T44,0.884912071306464,221172
hallway-T45,0.885136942505961,227667
hallway-T46,0.885397327610801,235125
hallway-T47,0.884930564381592,239826
hallway-T48,0.88460341716735,244365
hallway-T49,0.884865149990256,248994
hallway-T50,0.885530249468448,256269
hallway-T51,0.885681675319928,262260
hallway-T52,0.886354288272269,269907
hallway-T53,0.886252743176719,277722
hallway-T54,0.886123488935419,285372
hallway-T55,0.886274034785213,291888
hallway-T56,0.88715028848469,300390
hallway-T57,0.887688504892259,309435
hallway-T58,0.887908767988685,317910
hallway-T59,0.88814196263106,326688
hallway-T60,0.887942475503484,334227
hallway-T61,0.88762980747551,341304
hallway-T62,0.888173756817205,349215
hallway-T63,0.888361672144315,356997
hallway-T64,0.88843703110563,364242
hallway-T65,0.888537212856596,371031
hallway-T66,0.888333386955067,373494
hallway-T67,0.888127354565434,377376
hallway-T68,0.887957049914885,382914
hallway-T69,0.887630259405772,388176
hallway-T70,0.887551877923994,389574
hallway-T71,0.887504990160846,394002
hallway-T72,0.887791664453285,401310
hallway-T73,0.888201207145137,410136
hallway-T74,0.888185636880771,416496
hallway-T75,0.888332110198089,422571
hallway-T76,0.88894660436157,432636
hallway-T77,0.889372061838411,441459
hallway-T78,0.889501589072933,448737
hallway-T79,0.889417463327039,453990
hallway-T80,0.889287909440819,459315
hallway-T81,0.889565630103282,466560
hallway-T82,0.889655267379198,474423
hallway-T83,0.889676950747066,479997
hallway-T84,0.889611780695272,485592
hallway-T85,0.889462952406722,490554
hallway-T86,0.88937313771249,495705
hallway-T87,0.88934269216663,503469
hallway-T88,0.888980724678558,509583
hallway-T89,0.888715375768262,514563
hallway-T90,0.888450537616764,518091
hallway-T91,0.888501454660297,520899
hallway-T92,0.888153561035276,526020
hallway-T93,0.888066658501747,532395
hallway-T94,0.887727850856901,536121
hallway-T95,0.887632003442866,537705
hallway-T96,0.887524532286678,539520
hallway-T97,0.887433313002879,543321
hallway-T98,0.88757494747036,548904
hallway-T99,0.887672256211882,553926
hallway-T100,0.887272682169654,559836
hallway-T101,0.88709087514295,566262
hallway-T102,0.887080346019749,574992
hallway-T103,0.887227756025154,583065
hallway-T104,0.887302864394597,589404
hallway-T105,0.887117056716713,596406
hallway-T106,0.886909291806355,601398
hallway-T107,0.886909965011517,608688
hallway-T108,0.887130909016271,615276
hallway-T109,0.887055793744009,618990
hallway-T110,0.886889306735487,621498
hallway-T111,0.886849988760597,626598
hallway-T112,0.886737448243131,631677
hallway-T113,0.886448400286091,635799
hallway-T114,0.886314709064506,639555
hallway-T115,0.886362354529567,647610
hallway-T116,0.886203642562195,653757
hallway-T117,0.886143510671713,657351
hallway-T118,0.88613224417618,664647
hallway-T119,0.886067796198306,667470
hallway-T120,0.886006561990621,672087
hallway-T121,0.885873540965575,680001
hallway-T122,0.885787584048546,682680
hallway-T123,0.885609263488722,685710
hallway-T124,0.885561520669851,693474
hallway-T125,0.88550276723807,699822
hallway-T126,0.885711831665874,704835
hallway-T127,0.88575211869397,708726
hallway-T128,0.885715911544426,712161
hallway-T129,0.885674099651374,717447
hallway-T130,0.885648033099651,724965
hallway-T131,0.885736755171466,732873
hallway-T132,0.885593375441067,738207
hallway-T133,0.885380206604777,741657
hallway-T134,0.885489090519636,749604
hallway-T135,0.885583991770498,757833
hallway-T136,0.885601852875729,762492
hallway-T137,0.885443765006382,767739
hallway-T138,0.885453863321561,773601
hallway-T139,0.885613475594898,779703
hallway-T140,0.88568456039107,785886
hallway-T141,0.885748199496581,789534
hallway-T142,0.885843252072127,795027
hallway-T143,0.885725576362343,798534
hallway-T144,0.885863443296582,805695
hallway-T145,0.886041972745986,813138
hallway-T146,0.885957743162848,815556
hallway-T147,0.88593515997677,821283
hallway-T148,0.885757096010725,824988
hallway-T149,0.885748455438211,830592
hallway-T150,0.885884503882045,837690
hallway-T151,0.885918863385088,841986
hallway-T152,0.885833298047511,847089
hallway-T153,0.885712233270135,852129
hallway-T154,0.885612949366888,858699
hallway-T155,0.885543431523876,865581
hallway-T156,0.885349660935534,875055
hallway-T157,0.88518104489109,883110
hallway-T158,0.88517311288431,890790
hallway-T159,0.885017708087475,894879
hallway-T160,0.884289607958223,888336
hallway-T161,0.884304849253027,889185
hallway-T162,0.883859854416058,890604
hallway-T163,0.883923500218925,892380
hallway-T164,0.88387958089451,892788
hallway-T165,0.883851368011866,896679
hallway-T166,0.884101196158114,904530
hallway-T167,0.884157705253254,908724
hallway-T168,0.884219251366397,911340
