Filename,Symmetric Similarity,Cloud Size
office-T0,0.926968873021337,8328
office-T1,0.912345173373188,23427
office-T2,0.896887560781588,30933
office-T3,0.89703479773146,40257
office-T4,0.893158991660019,47427
office-T5,0.891963463160447,54780
office-T6,0.888584628483622,59004
office-T7,0.89158739090805,69972
office-T8,0.892576476292977,84201
office-T9,0.894618847838997,99894
office-T10,0.894184718480069,113967
office-T11,0.892545507182724,131043
office-T12,0.890465551231623,148431
office-T13,0.889596059432515,163482
office-T14,0.889913914792187,179700
office-T15,0.889191219614995,198267
office-T16,0.889951546883422,216339
office-T17,0.888467693148964,230022
office-T18,0.886786935263802,238572
office-T19,0.886055008449629,245931
office-T20,0.88533822319963,253812
office-T21,0.884733913057506,261024
office-T22,0.884741388657156,268314
office-T23,0.884353643232641,270435
office-T24,0.884043050973453,278226
office-T25,0.884597191376033,289233
office-T26,0.88428372437882,294417
office-T27,0.884123357198105,301719
office-T28,0.885891368495793,320094
office-T29,0.886373422562499,336429
office-T30,0.885909104905898,350622
office-T31,0.885292151600282,365175
office-T32,0.884921584316822,377412
office-T33,0.885600136575261,396552
office-T34,0.88522857299097,411756
office-T35,0.884647367637234,418098
office-T36,0.884256200711007,424671
office-T37,0.88397635426308,429597
office-T38,0.883590287813967,434595
office-T39,0.88300606333925,445407
office-T40,0.882269268622197,457323
office-T41,0.882054085493995,468123
office-T42,0.881252184973519,475410
office-T43,0.880728441877062,483501
office-T44,0.880201673409755,493503
office-T45,0.879949419700696,503343
office-T46,0.879536424048887,511395
office-T47,0.879523404204344,522258
office-T48,0.879201891840719,531960
office-T49,0.879190148482078,535677
office-T50,0.879159177745067,538530
office-T51,0.879035663463731,539571
office-T52,0.878985901147204,542820
office-T53,0.879018207919346,547500
office-T54,0.878964159322244,551079
office-T55,0.879037503107182,557337
office-T56,0.878975223962337,562299
office-T57,0.879034748135863,571089
office-T58,0.879297536225412,583140
office-T59,0.879278666455289,594009
office-T60,0.879000629306773,599424
office-T61,0.878983080607739,607023
office-T62,0.87925183583195,620898
office-T63,0.878935392157417,633828
office-T64,0.878674205904681,640776
office-T65,0.878494439335896,644313
office-T66,0.878279909516097,652629
office-T67,0.878489600013809,660327
office-T68,0.878785313542803,673464
office-T69,0.879053131103103,691992
office-T70,0.879731338628917,714483
office-T71,0.880049128127642,735696
office-T72,0.880254762966798,757485
office-T73,0.879850681128507,770325
office-T74,0.879571195392059,777213
office-T75,0.879344220093354,785079
office-T76,0.879253155935865,794289
office-T77,0.879157306891426,803238
office-T78,0.879049350478633,808878
office-T79,0.878811293241828,818865
office-T80,0.878491881344276,829728
office-T81,0.878142815137552,839238
office-T82,0.877997053165254,847653
office-T83,0.877921226916965,851487
office-T84,0.877874793882314,858111
office-T85,0.877729958428404,864468
office-T86,0.877743170518641,868341
office-T87,0.877734527303206,876081
office-T88,0.877822922786914,892290
office-T89,0.877709580706869,903684
office-T90,0.877450509340614,910038
office-T91,0.877296133603311,914850
office-T92,0.87727312043494,921216
office-T93,0.876947243372203,928971
office-T94,0.876705299887721,938901
office-T95,0.876689354750198,951735
office-T96,0.876760983847876,964629
office-T97,0.876595002258258,973563
office-T98,0.876315963010994,981783
office-T99,0.876191195767394,986343
office-T100,0.876076031070139,990075
office-T101,0.875892304053152,996000
office-T102,0.875728026127077,1003683
office-T103,0.875493824932793,1011159
office-T104,0.875319561151792,1020270
office-T105,0.875231883256529,1035426
office-T106,0.875090838094635,1042449
office-T107,0.875136838390871,1053144
office-T108,0.875010649904961,1057554
office-T109,0.874914637442353,1065120
office-T110,0.874847034403366,1071159
office-T111,0.874666432192645,1075725
office-T112,0.874559006014142,1079748
office-T113,0.874405117267217,1082175
office-T114,0.874369243359197,1082778
office-T115,0.874281887549985,1085112
office-T116,0.87406709873941,1087941
office-T117,0.87400932893901,1091295
office-T118,0.873946687634627,1092495
